"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,949527,471,2,0
2,949587,406,7,0
3,949625,370,5,0
4,949630,368,2,0
5,949645,352,3,0
6,949670,329,1,0
7,949683,315,2,0
8,949687,313,0,0
9,949703,297,0,0
10,949664,336,0,0
11,949735,265,0,0
12,949768,232,0,0
13,949783,217,0,0
14,949779,221,0,0
15,949787,213,0,0
16,949819,181,0,0
17,949824,176,0,0
18,949811,189,0,0
19,949827,173,0,0
20,949860,139,0,1
21,949897,103,0,0
22,949895,105,0,0
23,949899,101,0,0
24,949919,81,0,0
25,949926,74,0,0
26,949925,75,0,0
27,949923,77,0,0
28,949930,70,0,0
29,949924,76,0,0
30,949913,87,0,0
31,949907,93,0,0
32,949914,86,0,0
33,949927,73,0,0
34,949947,53,0,0
35,949963,37,0,0
36,949963,37,0,0
37,949957,43,0,0
38,949960,40,0,0
39,949950,50,0,0
40,949948,52,0,0
41,949956,44,0,0
42,949962,38,0,0
43,949969,31,0,0
44,949972,28,0,0
45,949977,23,0,0
46,949973,27,0,0
47,949983,17,0,0
48,949984,16,0,0
49,949986,14,0,0
50,949989,11,0,0
51,949989,11,0,0
52,949991,9,0,0
53,949982,18,0,0
54,949988,12,0,0
55,949991,9,0,0
56,949996,4,0,0
57,949998,2,0,0
58,949996,4,0,0
59,949996,4,0,0
60,949998,2,0,0
61,949999,1,0,0
62,950000,0,0,0
