"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,949264,734,2,0
2,949244,753,2,1
3,949274,718,4,4
4,949241,747,4,8
5,949257,732,5,6
6,949214,776,5,5
7,949180,811,2,7
8,949236,755,1,8
9,949189,790,2,19
10,949165,825,0,10
11,949139,854,0,7
12,949119,868,2,11
13,949116,862,2,20
14,949131,847,3,19
15,949077,897,2,24
16,948957,1013,4,26
17,948929,1045,4,22
18,948857,1106,4,33
19,948801,1156,5,38
20,948788,1151,6,55
21,948790,1141,6,63
22,948753,1178,3,66
23,948695,1239,2,64
24,948672,1256,2,70
25,948718,1215,0,67
26,948764,1177,0,59
27,948773,1170,0,57
28,948852,1086,1,61
29,948837,1091,1,71
30,948799,1122,2,77
31,948778,1127,0,95
32,948758,1160,2,80
33,948705,1214,3,78
34,948734,1175,2,89
35,948667,1209,3,121
36,948680,1183,1,136
37,948723,1147,1,129
38,948634,1228,3,135
39,948606,1270,1,123
40,948626,1240,3,131
41,948574,1304,3,119
42,948687,1181,4,128
43,948697,1172,3,128
44,948770,1094,3,133
45,948774,1089,3,134
46,948711,1160,3,126
47,948676,1206,0,118
48,948711,1187,0,102
49,948686,1198,4,112
50,948615,1252,3,130
51,948635,1213,2,150
52,948662,1174,4,160
53,948677,1144,5,174
54,948592,1203,4,201
55,948622,1144,4,230
56,948646,1106,4,244
57,948667,1077,3,253
58,948603,1128,4,265
59,948690,1074,3,233
60,948703,1091,0,206
61,948685,1103,2,210
62,948709,1106,3,182
63,948654,1169,2,175
64,948675,1173,2,150
65,948709,1164,4,123
66,948692,1181,3,124
67,948725,1140,0,135
68,948698,1155,1,146
69,948692,1179,2,127
70,948685,1214,1,100
71,948561,1340,5,94
72,948624,1273,3,100
73,948623,1260,2,115
74,948567,1313,3,117
75,948548,1341,2,109
76,948536,1370,0,94
77,948511,1385,4,100
78,948606,1276,8,110
79,948609,1268,4,119
80,948634,1237,5,124
81,948695,1197,3,105
82,948703,1185,2,110
83,948698,1170,2,130
84,948760,1114,3,123
85,948748,1125,1,126
86,948668,1196,1,135
87,948681,1186,3,130
88,948608,1239,1,152
89,948694,1143,0,163
90,948713,1139,1,147
91,948628,1239,2,131
92,948648,1216,2,134
93,948554,1271,2,173
94,948572,1238,5,185
95,948596,1188,3,213
96,948623,1172,2,203
97,948713,1074,1,212
98,948693,1118,0,189
99,948733,1073,1,193
100,948724,1073,1,202
101,948745,1070,1,184
102,948760,1047,2,191
103,948828,999,1,172
104,948866,950,0,184
