"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,949135,865,0,0
2,949183,817,0,0
3,949226,772,0,2
4,949232,767,0,1
5,949265,734,0,1
6,949261,734,0,5
7,949306,687,0,7
8,949310,677,0,13
9,949338,645,0,17
10,949365,621,0,14
11,949364,626,0,10
12,949358,633,0,9
13,949394,598,0,8
14,949407,585,0,8
15,949462,521,0,17
16,949496,484,0,20
17,949525,447,0,28
18,949581,380,0,39
19,949562,394,0,44
20,949602,360,0,38
21,949596,373,0,31
22,949626,354,0,20
23,949641,337,0,22
24,949650,332,0,18
25,949669,321,0,10
26,949654,336,0,10
27,949653,337,0,10
28,949647,341,0,12
29,949665,325,0,10
30,949661,331,0,8
31,949676,315,0,9
32,949705,286,0,9
33,949706,280,0,14
34,949700,278,0,22
35,949738,240,0,22
36,949762,226,0,12
37,949779,217,0,4
38,949806,192,0,2
39,949809,191,0,0
40,949819,181,0,0
41,949856,144,0,0
42,949869,131,0,0
43,949884,116,0,0
44,949887,113,0,0
45,949889,111,0,0
46,949885,115,0,0
47,949900,100,0,0
48,949906,94,0,0
49,949915,85,0,0
50,949925,75,0,0
51,949928,72,0,0
52,949934,66,0,0
53,949936,64,0,0
54,949952,48,0,0
55,949951,49,0,0
56,949947,53,0,0
57,949943,57,0,0
58,949957,43,0,0
59,949962,38,0,0
60,949952,48,0,0
61,949959,41,0,0
62,949968,32,0,0
63,949965,35,0,0
64,949969,31,0,0
65,949978,22,0,0
66,949978,22,0,0
67,949973,27,0,0
68,949981,19,0,0
69,949982,18,0,0
70,949979,21,0,0
71,949976,24,0,0
72,949979,21,0,0
73,949980,20,0,0
74,949982,18,0,0
75,949985,15,0,0
76,949984,16,0,0
77,949985,15,0,0
78,949986,14,0,0
79,949986,14,0,0
80,949986,14,0,0
81,949991,9,0,0
82,949992,8,0,0
83,949998,2,0,0
84,949997,3,0,0
85,949996,4,0,0
86,949994,6,0,0
87,949993,7,0,0
88,949989,11,0,0
89,949986,14,0,0
90,949992,8,0,0
91,949990,10,0,0
92,949989,11,0,0
93,949991,9,0,0
94,949995,5,0,0
95,949997,3,0,0
96,949998,2,0,0
97,950000,0,0,0
