"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,943099,6814,0,87
2,943150,6723,0,127
3,943291,6570,0,139
4,943499,6359,0,142
5,943616,6242,0,142
6,943671,6198,0,131
7,943792,6082,0,126
8,944103,5777,0,120
9,944075,5783,0,142
10,944158,5688,0,154
11,944301,5561,0,138
12,944421,5417,0,162
13,944556,5281,0,163
14,944726,5109,0,165
15,944889,4957,0,154
16,945053,4794,0,153
17,945217,4606,0,177
18,945375,4446,0,179
19,945576,4256,0,168
20,945755,4061,0,184
21,945866,3924,0,210
22,946034,3742,0,224
23,946231,3547,0,222
24,946320,3444,0,236
25,946357,3419,0,224
26,946501,3258,0,241
27,946717,3036,0,247
28,946883,2874,0,243
29,947013,2730,0,257
30,947148,2600,0,252
31,947312,2439,0,249
32,947317,2391,0,292
33,947401,2284,0,315
34,947444,2221,0,335
35,947549,2118,0,333
36,947523,2100,0,377
37,947654,1979,0,367
38,947735,1934,0,331
39,947764,1900,0,336
40,947874,1777,0,349
41,948025,1626,0,349
42,948074,1572,0,354
43,948137,1519,0,344
44,948257,1384,0,359
45,948296,1347,0,357
46,948328,1319,0,353
47,948374,1265,0,361
48,948399,1220,0,381
49,948476,1178,0,346
50,948448,1171,0,381
51,948541,1088,0,371
52,948556,1077,0,367
53,948571,1028,0,401
54,948690,915,0,395
55,948748,855,0,397
56,948797,803,0,400
57,948820,789,0,391
58,948850,749,0,401
59,948929,694,0,377
60,948981,651,0,368
61,948994,638,0,368
62,948971,651,0,378
63,949001,591,0,408
64,949012,540,0,448
65,949073,492,0,435
66,949050,505,0,445
67,949110,442,0,448
68,949125,441,0,434
69,949203,389,0,408
70,949194,384,0,422
71,949223,374,0,403
72,949277,349,0,374
73,949266,339,0,395
74,949258,319,0,423
75,949306,299,0,395
76,949337,264,0,399
77,949358,230,0,412
78,949386,207,0,407
79,949365,178,0,457
80,949390,173,0,437
81,949357,195,0,448
82,949355,200,0,445
83,949325,197,0,478
84,949329,189,0,482
85,949330,172,0,498
86,949341,174,0,485
87,949395,161,0,444
88,949372,158,0,470
89,949423,140,0,437
90,949430,123,0,447
91,949440,111,0,449
92,949469,86,0,445
93,949503,71,0,426
94,949514,55,0,431
95,949536,51,0,413
96,949527,58,0,415
97,949540,56,0,404
98,949521,47,0,432
99,949539,53,0,408
100,949540,44,0,416
101,949556,37,0,407
102,949525,32,0,443
103,949546,28,0,426
104,949538,33,0,429
105,949549,34,0,417
106,949569,28,0,403
107,949540,23,0,437
108,949545,20,0,435
109,949584,22,0,394
110,949555,23,0,422
111,949558,22,0,420
112,949567,28,0,405
113,949581,13,0,406
114,949602,13,0,385
115,949606,18,0,376
116,949637,15,0,348
117,949638,15,0,347
118,949628,19,0,353
119,949619,12,0,369
120,949604,14,0,382
121,949607,10,0,383
122,949578,8,0,414
123,949586,3,0,411
124,949584,1,0,415
125,949577,1,0,422
126,949580,1,0,419
127,949564,1,0,435
128,949567,0,0,433
