"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,941389,8587,0,24
2,941427,8548,0,25
3,941576,8391,0,33
4,941590,8365,0,45
5,941557,8390,0,53
6,941536,8401,0,63
7,941396,8529,0,75
8,941330,8569,0,101
9,941422,8477,0,101
10,941479,8398,0,123
11,941513,8369,0,118
12,941443,8405,0,152
13,941464,8354,0,182
14,941399,8400,0,201
15,941371,8421,0,208
16,941276,8494,0,230
17,941233,8528,0,239
18,941201,8571,0,228
19,941305,8451,0,244
20,941208,8551,0,241
21,941282,8476,0,242
22,941241,8497,0,262
23,941295,8458,0,247
24,941363,8417,0,220
25,941383,8379,0,238
26,941302,8461,0,237
27,941250,8526,0,224
28,941150,8652,0,198
29,940941,8821,0,238
30,940976,8795,0,229
31,941038,8725,0,237
32,941122,8629,0,249
33,941151,8613,0,236
34,941120,8646,0,234
35,941161,8594,0,245
36,941163,8596,0,241
37,941177,8586,0,237
38,941025,8722,0,253
39,940989,8745,0,266
40,940980,8763,0,257
41,940915,8783,0,302
42,940945,8744,0,311
43,940907,8771,0,322
44,940744,8938,0,318
45,940813,8849,0,338
46,940983,8668,0,349
47,940765,8877,0,358
48,940710,8939,0,351
49,940820,8855,0,325
50,940850,8780,0,370
51,940817,8808,0,375
52,940938,8724,0,338
53,941036,8606,0,358
54,941049,8585,0,366
55,941044,8583,0,373
56,941140,8471,0,389
57,941129,8453,0,418
58,941155,8412,0,433
59,941147,8399,0,454
60,941129,8393,0,478
61,941112,8417,0,471
62,941002,8491,0,507
63,940895,8560,0,545
64,940862,8571,0,567
65,940802,8569,0,629
66,940929,8407,0,664
67,940885,8433,0,682
68,940815,8525,0,660
69,940788,8563,0,649
70,940798,8524,0,678
71,940818,8547,0,635
72,940874,8471,0,655
73,940828,8521,0,651
74,940734,8604,0,662
75,940692,8653,0,655
76,940706,8645,0,649
77,940692,8673,0,635
78,940633,8714,0,653
79,940600,8702,0,698
80,940656,8649,0,695
81,940740,8612,0,648
82,940721,8590,0,689
83,940641,8686,0,673
84,940717,8652,0,631
85,940559,8772,0,669
86,940632,8706,0,662
87,940735,8612,0,653
88,940741,8598,0,661
89,940865,8474,0,661
90,940806,8563,0,631
91,940789,8598,0,613
92,940770,8628,0,602
93,940870,8530,0,600
94,940955,8437,0,608
95,940996,8414,0,590
96,940871,8532,0,597
97,940894,8526,0,580
98,940965,8426,0,609
99,941065,8341,0,594
100,940983,8381,0,636
101,940996,8351,0,653
102,941136,8188,0,676
103,941115,8232,0,653
104,941087,8242,0,671
105,941068,8221,0,711
106,941050,8257,0,693
107,941108,8224,0,668
108,941147,8163,0,690
109,941246,8069,0,685
110,941129,8179,0,692
111,941071,8210,0,719
112,941104,8146,0,750
113,941119,8201,0,680
114,941095,8214,0,691
115,940875,8400,0,725
116,940866,8438,0,696
117,940808,8477,0,715
118,940831,8448,0,721
119,940889,8388,0,723
120,940918,8386,0,696
121,940967,8360,0,673
122,940965,8406,0,629
123,941000,8400,0,600
124,940933,8395,0,672
125,941030,8291,0,679
126,941136,8197,0,667
127,940970,8340,0,690
128,941065,8259,0,676
129,941240,8085,0,675
130,941325,7989,0,686
131,941426,7857,0,717
132,941469,7815,0,716
133,941499,7805,0,696
134,941507,7827,0,666
135,941552,7728,0,720
136,941443,7830,0,727
137,941518,7740,0,742
138,941593,7657,0,750
139,941647,7613,0,740
140,941612,7664,0,724
141,941572,7691,0,737
142,941759,7513,0,728
143,941760,7534,0,706
144,941678,7599,0,723
145,941677,7559,0,764
146,941635,7612,0,753
147,941740,7493,0,767
148,941655,7597,0,748
149,941726,7530,0,744
150,941639,7620,0,741
151,941618,7633,0,749
152,941576,7654,0,770
153,941422,7807,0,771
154,941406,7828,0,766
155,941359,7872,0,769
156,941421,7863,0,716
157,941438,7816,0,746
158,941446,7770,0,784
159,941512,7705,0,783
160,941530,7693,0,777
161,941395,7812,0,793
162,941343,7863,0,794
163,941319,7906,0,775
164,941267,7917,0,816
165,941200,7992,0,808
166,941172,7992,0,836
167,941113,8014,0,873
168,941080,8017,0,903
169,941097,7979,0,924
170,941113,7951,0,936
171,941016,8031,0,953
172,940850,8188,0,962
173,940895,8218,0,887
174,940936,8196,0,868
175,941039,8074,0,887
176,941031,8091,0,878
177,940882,8195,0,923
178,940824,8292,0,884
179,940933,8201,0,866
180,940937,8192,0,871
181,940966,8130,0,904
182,940838,8212,0,950
183,940818,8227,0,955
184,940869,8179,0,952
185,940794,8298,0,908
186,940745,8373,0,882
187,940726,8401,0,873
188,940712,8452,0,836
189,940736,8454,0,810
190,940658,8544,0,798
191,940681,8463,0,856
192,940656,8477,0,867
193,940588,8537,0,875
194,940659,8470,0,871
195,940629,8525,0,846
196,940690,8418,0,892
197,940572,8521,0,907
198,940481,8657,0,862
199,940564,8551,0,885
200,940619,8544,0,837
201,940607,8539,0,854
202,940475,8663,0,862
203,940563,8524,0,913
204,940581,8482,0,937
205,940536,8503,0,961
206,940708,8356,0,936
207,940630,8430,0,940
208,940773,8244,0,983
209,940724,8267,0,1009
210,940748,8277,0,975
211,940747,8313,0,940
212,940659,8333,0,1008
213,940649,8309,0,1042
214,940747,8182,0,1071
215,940570,8296,0,1134
216,940528,8383,0,1089
217,940544,8373,0,1083
218,940524,8374,0,1102
219,940481,8369,0,1150
220,940694,8175,0,1131
221,940681,8186,0,1133
222,940575,8263,0,1162
223,940425,8393,0,1182
224,940538,8256,0,1206
225,940536,8264,0,1200
226,940648,8176,0,1176
227,940552,8237,0,1211
228,940577,8216,0,1207
229,940469,8289,0,1242
230,940599,8115,0,1286
231,940512,8176,0,1312
232,940503,8174,0,1323
233,940496,8174,0,1330
234,940313,8295,0,1392
235,940410,8287,0,1303
236,940410,8243,0,1347
237,940280,8311,0,1409
238,940301,8288,0,1411
239,940281,8274,0,1445
240,940178,8334,0,1488
241,940212,8317,0,1471
242,940220,8308,0,1472
243,940114,8439,0,1447
244,940149,8391,0,1460
245,940172,8356,0,1472
246,940066,8450,0,1484
247,940226,8313,0,1461
248,940206,8291,0,1503
249,940172,8337,0,1491
250,940273,8161,0,1566
251,940126,8276,0,1598
252,940027,8297,0,1676
253,940029,8299,0,1672
254,939917,8370,0,1713
255,939809,8490,0,1701
256,939782,8522,0,1696
257,939832,8427,0,1741
258,939777,8476,0,1747
259,939699,8517,0,1784
260,939639,8543,0,1818
261,939666,8512,0,1822
262,939644,8558,0,1798
263,939551,8664,0,1785
264,939633,8602,0,1765
265,939655,8556,0,1789
266,939689,8513,0,1798
267,939846,8325,0,1829
268,939762,8382,0,1856
269,939840,8326,0,1834
270,940036,8186,0,1778
271,940055,8157,0,1788
272,940133,8084,0,1783
273,939955,8185,0,1860
274,939900,8202,0,1898
275,939784,8259,0,1957
276,939951,8139,0,1910
277,940101,8080,0,1819
278,940077,8140,0,1783
279,940012,8212,0,1776
280,940032,8156,0,1812
281,940084,8139,0,1777
282,939916,8217,0,1867
283,939960,8195,0,1845
284,940050,8035,0,1915
285,940097,7994,0,1909
286,940209,7887,0,1904
287,940192,7965,0,1843
288,940106,7998,0,1896
289,940196,7914,0,1890
290,940271,7837,0,1892
291,940253,7870,0,1877
292,940234,7883,0,1883
293,940103,7975,0,1922
294,940105,7999,0,1896
295,940252,7837,0,1911
296,940289,7809,0,1902
297,940311,7775,0,1914
298,940509,7586,0,1905
299,940639,7470,0,1891
300,940745,7313,0,1942
301,940825,7266,0,1909
302,940890,7273,0,1837
303,941019,7190,0,1791
304,941082,7092,0,1826
305,941090,7025,0,1885
306,941108,6959,0,1933
307,941085,6998,0,1917
308,940995,7054,0,1951
309,941062,6983,0,1955
310,941070,6910,0,2020
311,941064,7018,0,1918
312,941016,7068,0,1916
313,941114,6941,0,1945
314,940911,7099,0,1990
315,940775,7191,0,2034
316,940778,7151,0,2071
317,940678,7197,0,2125
318,940590,7343,0,2067
319,940758,7190,0,2052
320,940719,7189,0,2092
321,940561,7296,0,2143
322,940523,7304,0,2173
323,940649,7142,0,2209
324,940742,7056,0,2202
325,940673,7048,0,2279
326,940735,6980,0,2285
327,940716,6990,0,2294
328,940724,6950,0,2326
329,940555,7079,0,2366
330,940604,7041,0,2355
331,940583,7036,0,2381
332,940554,7064,0,2382
333,940395,7212,0,2393
334,940407,7277,0,2316
335,940406,7285,0,2309
336,940357,7309,0,2334
337,940488,7174,0,2338
338,940549,7125,0,2326
339,940483,7181,0,2336
340,940515,7203,0,2282
341,940498,7202,0,2300
342,940533,7172,0,2295
343,940570,7122,0,2308
344,940780,6946,0,2274
345,940746,7015,0,2239
346,940718,7050,0,2232
347,940631,7046,0,2323
348,940658,6996,0,2346
349,940606,7041,0,2353
350,940578,7026,0,2396
