"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,949346,586,0,68
2,949352,578,0,70
3,949361,576,0,63
4,949382,563,0,55
5,949415,527,0,58
6,949427,507,0,66
7,949431,499,0,70
8,949470,469,0,61
9,949475,473,0,52
10,949471,469,0,60
11,949494,449,0,57
12,949537,398,0,65
13,949550,389,0,61
14,949562,371,0,67
15,949562,358,0,80
16,949585,335,0,80
17,949592,328,0,80
18,949616,312,0,72
19,949650,278,0,72
20,949641,282,0,77
21,949643,289,0,68
22,949643,295,0,62
23,949633,298,0,69
24,949667,278,0,55
25,949675,267,0,58
26,949668,267,0,65
27,949682,253,0,65
28,949666,272,0,62
29,949665,267,0,68
30,949697,243,0,60
31,949704,242,0,54
32,949680,258,0,62
33,949684,256,0,60
34,949718,224,0,58
35,949712,232,0,56
36,949706,231,0,63
37,949720,223,0,57
38,949726,216,0,58
39,949705,237,0,58
40,949680,259,0,61
41,949703,236,0,61
42,949705,238,0,57
43,949732,223,0,45
44,949741,215,0,44
45,949772,189,0,39
46,949791,169,0,40
47,949814,145,0,41
48,949808,148,0,44
49,949831,136,0,33
50,949840,129,0,31
51,949827,139,0,34
52,949822,136,0,42
53,949862,108,0,30
54,949850,112,0,38
55,949860,104,0,36
56,949867,90,0,43
57,949883,77,0,40
58,949902,68,0,30
59,949898,71,0,31
60,949874,80,0,46
61,949879,74,0,47
62,949875,92,0,33
63,949879,88,0,33
64,949894,76,0,30
65,949897,68,0,35
66,949887,74,0,39
67,949864,84,0,52
68,949851,102,0,47
69,949851,93,0,56
70,949854,99,0,47
71,949868,74,0,58
72,949856,81,0,63
73,949865,72,0,63
74,949871,59,0,70
75,949837,78,0,85
76,949839,80,0,81
77,949839,87,0,74
78,949833,85,0,82
79,949840,78,0,82
80,949823,84,0,93
81,949819,72,0,109
82,949814,56,0,130
83,949835,38,0,127
84,949851,37,0,112
85,949864,27,0,109
86,949857,33,0,110
87,949830,43,0,127
88,949825,49,0,126
89,949840,41,0,119
90,949844,38,0,118
91,949842,39,0,119
92,949855,33,0,112
93,949844,36,0,120
94,949844,32,0,124
95,949839,36,0,125
96,949853,32,0,115
97,949852,36,0,112
98,949852,33,0,115
99,949845,40,0,115
100,949853,33,0,114
101,949857,33,0,110
102,949865,35,0,100
103,949867,39,0,94
104,949862,37,0,101
105,949875,41,0,84
106,949870,50,0,80
107,949874,48,0,78
108,949870,51,0,79
109,949870,44,0,86
110,949885,40,0,75
111,949898,28,0,74
112,949896,35,0,69
113,949899,35,0,66
114,949893,36,0,71
115,949901,29,0,70
116,949922,25,0,53
117,949926,26,0,48
118,949925,21,0,54
119,949943,20,0,37
120,949949,13,0,38
121,949952,11,0,37
122,949960,11,0,29
123,949961,12,0,27
124,949968,10,0,22
125,949975,7,0,18
126,949978,7,0,15
127,949975,8,0,17
128,949973,9,0,18
129,949976,2,0,22
130,949968,4,0,28
131,949962,5,0,33
132,949958,2,0,40
133,949955,0,0,45
