"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,948748,1248,0,4
2,948752,1246,0,2
3,948721,1269,0,10
4,948738,1251,0,11
5,948757,1230,0,13
6,948735,1249,0,16
7,948717,1268,0,15
8,948725,1257,0,18
9,948726,1253,0,21
10,948730,1253,0,17
11,948717,1257,0,26
12,948758,1224,0,18
13,948755,1231,0,14
14,948735,1244,0,21
15,948707,1277,0,16
16,948675,1312,0,13
17,948679,1310,0,11
18,948639,1348,0,13
19,948686,1294,0,20
20,948688,1294,0,18
21,948711,1273,0,16
22,948734,1248,0,18
23,948758,1223,0,19
24,948757,1213,0,30
25,948778,1180,0,42
26,948760,1185,0,55
27,948796,1154,0,50
28,948790,1165,0,45
29,948783,1167,0,50
30,948801,1136,0,63
31,948805,1140,0,55
32,948821,1127,0,52
33,948808,1137,0,55
34,948775,1157,0,68
35,948796,1139,0,65
36,948821,1112,0,67
37,948802,1141,0,57
38,948802,1140,0,58
39,948796,1159,0,45
40,948794,1163,0,43
41,948802,1152,0,46
42,948751,1217,0,32
43,948776,1189,0,35
44,948773,1200,0,27
45,948742,1235,0,23
46,948773,1199,0,28
47,948792,1180,0,28
48,948742,1227,0,31
49,948761,1208,0,31
50,948738,1231,0,31
51,948692,1264,0,44
52,948685,1262,0,53
53,948714,1242,0,44
54,948697,1256,0,47
55,948679,1285,0,36
56,948683,1266,0,51
57,948682,1270,0,48
58,948776,1179,0,45
59,948777,1164,0,59
60,948794,1165,0,41
61,948855,1112,0,33
62,948810,1158,0,32
63,948803,1164,0,33
64,948796,1172,0,32
65,948774,1186,0,40
66,948785,1169,0,46
67,948801,1151,0,48
68,948799,1153,0,48
69,948811,1144,0,45
70,948845,1117,0,38
71,948861,1103,0,36
72,948886,1078,0,36
73,948855,1089,0,56
74,948890,1038,0,72
75,948832,1096,0,72
76,948855,1072,0,73
77,948853,1072,0,75
78,948839,1083,0,78
79,948853,1072,0,75
80,948780,1127,0,93
81,948789,1112,0,99
82,948770,1122,0,108
83,948800,1097,0,103
84,948825,1066,0,109
85,948865,1036,0,99
86,948859,1036,0,105
87,948871,1017,0,112
88,948935,965,0,100
89,948955,938,0,107
90,948924,937,0,139
91,948931,917,0,152
92,948927,923,0,150
93,948948,917,0,135
94,948933,937,0,130
95,948977,895,0,128
96,948993,889,0,118
97,949041,862,0,97
98,949031,874,0,95
99,948974,904,0,122
100,948985,899,0,116
101,949038,854,0,108
102,948968,917,0,115
103,948965,939,0,96
104,948930,978,0,92
105,948956,966,0,78
106,948929,995,0,76
107,948897,1018,0,85
108,948892,1027,0,81
109,948855,1063,0,82
110,948785,1120,0,95
111,948803,1093,0,104
112,948817,1088,0,95
113,948795,1106,0,99
114,948794,1118,0,88
115,948784,1129,0,87
116,948658,1257,0,85
117,948666,1255,0,79
118,948660,1259,0,81
119,948646,1278,0,76
120,948598,1312,0,90
121,948630,1285,0,85
122,948620,1288,0,92
123,948608,1297,0,95
124,948627,1268,0,105
125,948662,1228,0,110
126,948632,1250,0,118
127,948620,1263,0,117
128,948624,1282,0,94
129,948615,1282,0,103
130,948553,1330,0,117
131,948579,1309,0,112
132,948581,1308,0,111
133,948623,1267,0,110
134,948596,1283,0,121
135,948548,1324,0,128
136,948509,1364,0,127
137,948504,1376,0,120
138,948468,1399,0,133
139,948495,1382,0,123
140,948497,1369,0,134
141,948484,1356,0,160
142,948483,1359,0,158
143,948495,1337,0,168
144,948523,1316,0,161
145,948501,1338,0,161
146,948472,1372,0,156
147,948403,1418,0,179
148,948379,1432,0,189
149,948389,1413,0,198
150,948370,1423,0,207
151,948414,1401,0,185
152,948420,1376,0,204
153,948393,1390,0,217
154,948366,1408,0,226
155,948395,1378,0,227
156,948386,1382,0,232
157,948458,1326,0,216
158,948407,1374,0,219
159,948426,1360,0,214
160,948361,1414,0,225
161,948346,1419,0,235
162,948320,1442,0,238
163,948276,1461,0,263
164,948233,1513,0,254
165,948268,1468,0,264
166,948266,1471,0,263
167,948269,1464,0,267
168,948203,1525,0,272
169,948243,1491,0,266
170,948268,1460,0,272
171,948393,1353,0,254
172,948418,1327,0,255
173,948466,1270,0,264
174,948474,1286,0,240
175,948387,1336,0,277
176,948317,1369,0,314
177,948278,1373,0,349
178,948226,1394,0,380
179,948212,1416,0,372
180,948221,1392,0,387
181,948258,1356,0,386
182,948264,1329,0,407
183,948227,1356,0,417
184,948248,1330,0,422
185,948242,1340,0,418
186,948291,1309,0,400
187,948293,1296,0,411
188,948305,1268,0,427
189,948249,1279,0,472
190,948274,1247,0,479
191,948269,1232,0,499
192,948260,1219,0,521
193,948267,1237,0,496
194,948320,1170,0,510
195,948291,1225,0,484
196,948279,1232,0,489
197,948227,1285,0,488
198,948238,1263,0,499
199,948196,1294,0,510
200,948202,1289,0,509
201,948209,1298,0,493
202,948224,1275,0,501
203,948211,1283,0,506
204,948250,1248,0,502
205,948255,1274,0,471
206,948253,1301,0,446
207,948259,1301,0,440
208,948274,1271,0,455
209,948268,1296,0,436
210,948239,1280,0,481
211,948277,1250,0,473
212,948258,1245,0,497
213,948224,1263,0,513
214,948208,1286,0,506
215,948145,1338,0,517
216,948145,1313,0,542
217,948188,1295,0,517
218,948161,1306,0,533
219,948137,1325,0,538
220,948101,1357,0,542
221,948075,1357,0,568
222,948071,1355,0,574
223,948071,1350,0,579
224,948112,1334,0,554
225,948105,1359,0,536
226,948093,1359,0,548
227,948083,1379,0,538
228,948005,1437,0,558
229,948039,1444,0,517
230,948063,1434,0,503
231,948064,1433,0,503
232,948101,1414,0,485
233,948054,1446,0,500
234,948025,1472,0,503
235,948042,1427,0,531
236,947988,1473,0,539
237,948005,1463,0,532
238,948005,1477,0,518
239,947998,1460,0,542
240,947974,1457,0,569
241,947986,1428,0,586
242,948031,1376,0,593
243,948034,1391,0,575
244,948063,1356,0,581
245,948019,1400,0,581
246,948121,1316,0,563
247,948120,1327,0,553
248,948144,1331,0,525
249,948200,1283,0,517
250,948178,1294,0,528
251,948142,1325,0,533
252,948149,1305,0,546
253,948144,1306,0,550
254,948238,1250,0,512
255,948196,1297,0,507
256,948199,1290,0,511
257,948214,1280,0,506
258,948206,1290,0,504
259,948229,1303,0,468
260,948221,1310,0,469
261,948176,1354,0,470
262,948119,1380,0,501
263,948175,1325,0,500
264,948150,1336,0,514
265,948152,1332,0,516
266,948122,1335,0,543
267,948177,1251,0,572
268,948098,1338,0,564
269,948084,1368,0,548
270,948047,1379,0,574
271,948110,1322,0,568
272,948120,1317,0,563
273,948150,1320,0,530
274,948131,1335,0,534
275,948168,1312,0,520
276,948122,1352,0,526
277,948115,1358,0,527
278,948129,1317,0,554
279,948072,1325,0,603
280,948083,1315,0,602
281,948113,1305,0,582
282,948079,1338,0,583
283,948101,1304,0,595
284,948088,1318,0,594
285,948072,1321,0,607
286,948095,1311,0,594
287,948079,1320,0,601
288,948020,1366,0,614
289,947969,1370,0,661
290,947984,1354,0,662
291,948083,1274,0,643
292,948030,1337,0,633
293,948077,1299,0,624
294,948093,1283,0,624
295,948192,1187,0,621
296,948214,1191,0,595
297,948277,1135,0,588
298,948307,1151,0,542
299,948268,1185,0,547
300,948310,1147,0,543
301,948292,1141,0,567
302,948319,1128,0,553
303,948334,1110,0,556
304,948295,1155,0,550
305,948332,1129,0,539
306,948320,1145,0,535
307,948287,1145,0,568
308,948277,1153,0,570
309,948266,1161,0,573
