"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,504026,443185,0,2789
2,506606,440217,0,3177
3,508809,437657,0,3534
4,511046,435164,0,3790
5,513033,432890,0,4077
6,515647,430032,0,4321
7,518258,426873,0,4869
8,520571,424241,0,5188
9,522910,421569,0,5521
10,525517,418631,0,5852
11,527994,415823,0,6183
12,530701,412662,0,6637
13,533781,409437,0,6782
14,536281,406612,0,7107
15,539288,403253,0,7459
16,542111,400027,0,7862
17,544691,397270,0,8039
18,548109,393365,0,8526
19,550533,390368,0,9099
20,553762,386724,0,9514
21,556371,383743,0,9886
22,559642,380214,0,10144
23,562157,377116,0,10727
24,565303,373879,0,10818
25,568068,370646,0,11286
26,571483,366919,0,11598
27,574414,363846,0,11740
28,577449,360534,0,12017
29,581039,356492,0,12469
30,584270,353045,0,12685
31,587970,349147,0,12883
32,590720,345790,0,13490
33,593874,342246,0,13880
34,596444,339178,0,14378
35,599055,336091,0,14854
36,602519,332338,0,15143
37,604723,329650,0,15627
38,608156,326195,0,15649
39,611175,322889,0,15936
40,613428,320361,0,16211
41,616837,316607,0,16556
42,619439,313778,0,16783
43,621996,310945,0,17059
44,624679,307623,0,17698
45,627445,304504,0,18051
46,630282,301087,0,18631
47,632484,298469,0,19047
48,636234,294198,0,19568
49,638633,291441,0,19926
50,641100,288665,0,20235
51,643701,285627,0,20672
52,646918,281869,0,21213
53,650064,278446,0,21490
54,652311,275954,0,21735
55,655654,272489,0,21857
56,658046,269613,0,22341
57,661134,266395,0,22471
58,664170,262856,0,22974
59,667005,259929,0,23066
60,669551,257155,0,23294
61,671905,254693,0,23402
62,674338,251969,0,23693
63,677654,248234,0,24112
64,679899,245748,0,24353
65,682231,243018,0,24751
66,684989,239976,0,25035
67,687538,237116,0,25346
68,689650,234383,0,25967
69,691905,231856,0,26239
70,693548,229716,0,26736
71,695581,227281,0,27138
72,698343,224270,0,27387
73,700289,221743,0,27968
74,702150,219516,0,28334
75,704774,216680,0,28546
76,706999,214018,0,28983
77,708918,211619,0,29463
78,711328,208999,0,29673
79,713127,206920,0,29953
80,715939,203788,0,30273
81,718269,201180,0,30551
82,720111,199101,0,30788
83,722564,196324,0,31112
84,724366,194327,0,31307
85,726635,191847,0,31518
86,728800,189328,0,31872
87,730901,187073,0,32026
88,733660,184345,0,31995
89,735478,182337,0,32185
90,737943,179267,0,32790
91,740423,176581,0,32996
92,743167,173900,0,32933
93,745012,171675,0,33313
94,747397,169185,0,33418
95,748524,167916,0,33560
96,750883,165009,0,34108
97,753248,162471,0,34281
98,755768,159827,0,34405
99,757772,157544,0,34684
100,759906,155253,0,34841
101,761267,153261,0,35472
102,763288,150791,0,35921
103,764606,149147,0,36247
104,766864,146599,0,36537
105,768767,144457,0,36776
106,770434,142549,0,37017
107,772395,140189,0,37416
108,773749,138827,0,37424
109,774876,137530,0,37594
110,776825,135258,0,37917
111,778562,133154,0,38284
112,780582,130852,0,38566
113,782527,128938,0,38535
114,784208,127178,0,38614
115,785772,125405,0,38823
116,787636,123449,0,38915
117,788974,121831,0,39195
118,790745,119593,0,39662
119,792290,117932,0,39778
120,793709,116341,0,39950
121,795507,114496,0,39997
122,796748,112707,0,40545
123,798390,110736,0,40874
124,799876,109057,0,41067
125,801404,107286,0,41310
126,803126,105422,0,41452
127,804419,103810,0,41771
128,805453,102212,0,42335
129,806638,100819,0,42543
130,807941,99214,0,42845
131,809713,97271,0,43016
132,811259,95450,0,43291
133,812327,93849,0,43824
134,812958,93221,0,43821
135,814133,91439,0,44428
136,815802,89765,0,44433
137,817305,88559,0,44136
138,819059,87019,0,43922
139,820140,85752,0,44108
140,821561,83832,0,44607
141,822640,82668,0,44692
142,823939,81432,0,44629
143,824496,80337,0,45167
144,825787,79077,0,45136
145,827468,77240,0,45292
146,828706,76270,0,45024
147,829413,75591,0,44996
148,830382,74424,0,45194
149,831957,72950,0,45093
150,833046,71700,0,45254
151,833934,70728,0,45338
152,834969,69499,0,45532
153,835758,68535,0,45707
154,836673,67354,0,45973
155,837679,66305,0,46016
156,838525,65419,0,46056
157,839992,63798,0,46210
158,841370,62472,0,46158
159,842293,61479,0,46228
160,842771,60851,0,46378
