"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,9741,934728,0,5531
2,9644,933940,0,6416
3,9616,933265,0,7119
4,9647,932717,0,7636
5,9586,932113,0,8301
6,9565,931690,0,8745
7,9684,930822,0,9494
8,9530,930488,0,9982
9,9633,929794,0,10573
10,9528,929232,0,11240
11,9587,928552,0,11861
12,9556,927932,0,12512
13,9551,927352,0,13097
14,9500,926921,0,13579
15,9588,926350,0,14062
16,9737,925816,0,14447
17,9736,924982,0,15282
18,9671,924256,0,16073
19,9654,923601,0,16745
20,9718,923180,0,17102
21,9814,922263,0,17923
22,9951,921377,0,18672
23,9923,920878,0,19199
24,9892,920429,0,19679
25,9937,919869,0,20194
26,9938,919361,0,20701
27,9955,918919,0,21126
28,9916,918548,0,21536
29,10010,917853,0,22137
30,10035,917468,0,22497
31,10079,916924,0,22997
32,10091,916094,0,23815
33,9996,915524,0,24480
34,9959,914949,0,25092
35,9939,914182,0,25879
36,10082,913582,0,26336
37,10100,913115,0,26785
38,10101,912537,0,27362
39,10133,911892,0,27975
40,10184,910992,0,28824
41,10236,910146,0,29618
42,10364,909230,0,30406
43,10398,909035,0,30567
44,10460,908589,0,30951
45,10411,908033,0,31556
46,10430,907344,0,32226
47,10441,906674,0,32885
48,10472,906024,0,33504
49,10379,905131,0,34490
50,10391,904794,0,34815
51,10411,904006,0,35583
52,10347,903520,0,36133
53,10281,902970,0,36749
54,10333,902335,0,37332
55,10150,901818,0,38032
56,10063,901435,0,38502
57,10138,900794,0,39068
58,10182,900296,0,39522
59,10191,899559,0,40250
60,10216,898710,0,41074
61,10253,898148,0,41599
62,10235,897290,0,42475
63,10201,896926,0,42873
64,10274,896334,0,43392
65,10275,895879,0,43846
66,10207,895573,0,44220
67,10107,895245,0,44648
68,10151,894693,0,45156
69,10144,894064,0,45792
70,10182,893681,0,46137
71,10425,892672,0,46903
72,10413,892407,0,47180
73,10504,891917,0,47579
74,10417,891184,0,48399
75,10356,890667,0,48977
76,10498,889799,0,49703
77,10638,889406,0,49956
78,10512,888940,0,50548
79,10437,888900,0,50663
80,10493,888156,0,51351
81,10352,887854,0,51794
82,10241,887592,0,52167
83,10362,886816,0,52822
84,10411,886403,0,53186
85,10465,885934,0,53601
86,10671,885519,0,53810
87,10646,885191,0,54163
88,10710,884766,0,54524
89,10683,883996,0,55321
90,10613,883584,0,55803
91,10618,882964,0,56418
92,10621,882450,0,56929
93,10732,881545,0,57723
94,10803,880862,0,58335
95,10772,880320,0,58908
96,10737,879835,0,59428
97,10881,878474,0,60645
98,10815,877870,0,61315
99,10751,877247,0,62002
100,10930,876603,0,62467
101,10796,875790,0,63414
102,10649,875387,0,63964
103,10676,875022,0,64302
104,10634,874887,0,64479
105,10601,874267,0,65132
106,10767,873611,0,65622
107,10734,873158,0,66108
108,10741,872671,0,66588
109,10769,871919,0,67312
110,10836,871490,0,67674
111,10889,871137,0,67974
112,10914,870238,0,68848
113,10868,869758,0,69374
114,10776,869283,0,69941
115,10850,868856,0,70294
116,10840,867862,0,71298
117,10956,866931,0,72113
118,11046,866552,0,72402
119,11209,865699,0,73092
120,11138,865220,0,73642
121,11182,865012,0,73806
122,11326,864508,0,74166
123,11270,863705,0,75025
124,11182,863195,0,75623
125,10990,862637,0,76373
126,10860,862163,0,76977
127,10830,861595,0,77575
128,10764,861307,0,77929
129,10720,860625,0,78655
130,10787,859790,0,79423
131,10810,859210,0,79980
132,10841,858734,0,80425
133,10804,858134,0,81062
134,10809,857588,0,81603
135,10777,857252,0,81971
136,10713,856612,0,82675
137,10733,855817,0,83450
138,10828,854921,0,84251
139,10885,853898,0,85217
140,10846,853700,0,85454
141,10775,853905,0,85320
142,10830,853009,0,86161
143,10961,852007,0,87032
144,11017,851926,0,87057
145,11016,851455,0,87529
146,11252,851310,0,87438
147,11306,850502,0,88192
148,11373,850071,0,88556
149,11388,849548,0,89064
150,11390,848720,0,89890
151,11346,847949,0,90705
152,11283,847744,0,90973
153,11335,847287,0,91378
154,11279,846814,0,91907
155,11234,846010,0,92756
156,11134,845163,0,93703
157,11203,844757,0,94040
158,11156,844239,0,94605
159,11117,843692,0,95191
160,11217,843028,0,95755
161,11347,842321,0,96332
