"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,949476,524,0,0
2,949508,492,0,0
3,949537,463,0,0
4,949528,472,0,0
5,949510,490,0,0
6,949541,459,0,0
7,949604,396,0,0
8,949642,358,0,0
9,949688,312,0,0
10,949696,304,0,0
11,949715,285,0,0
12,949737,262,0,1
13,949767,228,0,5
14,949765,229,0,6
15,949750,239,0,11
16,949797,180,0,23
17,949791,188,0,21
18,949812,168,0,20
19,949841,144,0,15
20,949844,135,0,21
21,949850,129,0,21
22,949893,88,0,19
23,949921,68,0,11
24,949937,60,0,3
25,949937,61,0,2
26,949949,48,0,3
27,949965,32,0,3
28,949960,34,0,6
29,949966,32,0,2
30,949955,44,0,1
31,949954,46,0,0
32,949948,52,0,0
33,949941,59,0,0
34,949938,62,0,0
35,949888,112,0,0
36,949892,108,0,0
37,949899,101,0,0
38,949917,83,0,0
39,949916,84,0,0
40,949912,88,0,0
41,949907,93,0,0
42,949920,80,0,0
43,949927,73,0,0
44,949946,54,0,0
45,949949,51,0,0
46,949944,56,0,0
47,949948,52,0,0
48,949936,64,0,0
49,949945,55,0,0
50,949945,55,0,0
51,949953,47,0,0
52,949968,32,0,0
53,949977,23,0,0
54,949977,23,0,0
55,949966,34,0,0
56,949971,29,0,0
57,949987,13,0,0
58,949989,11,0,0
59,949988,12,0,0
60,949988,12,0,0
61,949985,15,0,0
62,949987,13,0,0
63,949982,18,0,0
64,949972,28,0,0
65,949979,21,0,0
66,949991,9,0,0
67,949996,4,0,0
68,949997,3,0,0
69,949996,4,0,0
70,949999,1,0,0
71,949999,1,0,0
72,950000,0,0,0
