"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,949022,975,0,3
2,948982,1016,0,2
3,948945,1054,0,1
4,948923,1074,0,3
5,948961,1033,0,6
6,949052,941,0,7
7,949111,886,0,3
8,949072,925,0,3
9,949031,969,0,0
10,949087,913,0,0
11,949155,844,0,1
12,949197,803,0,0
13,949189,811,0,0
14,949226,774,0,0
15,949235,764,0,1
16,949205,791,0,4
17,949241,754,0,5
18,949215,781,0,4
19,949224,767,0,9
20,949233,761,0,6
21,949264,728,0,8
22,949265,723,0,12
23,949281,711,0,8
24,949327,668,0,5
25,949327,672,0,1
26,949351,648,0,1
27,949351,646,0,3
28,949304,693,0,3
29,949306,690,0,4
30,949307,688,0,5
31,949358,633,0,9
32,949331,661,0,8
33,949383,612,0,5
34,949406,589,0,5
35,949427,571,0,2
36,949396,601,0,3
37,949424,572,0,4
38,949456,541,0,3
39,949488,508,0,4
40,949459,536,0,5
41,949487,506,0,7
42,949455,542,0,3
43,949466,530,0,4
44,949435,555,0,10
45,949409,572,0,19
46,949410,567,0,23
47,949381,587,0,32
48,949367,590,0,43
49,949334,628,0,38
50,949291,668,0,41
51,949309,648,0,43
52,949277,683,0,40
53,949301,675,0,24
54,949354,610,0,36
55,949363,609,0,28
56,949358,597,0,45
57,949389,571,0,40
58,949431,522,0,47
59,949443,512,0,45
60,949510,458,0,32
61,949532,443,0,25
62,949517,467,0,16
63,949502,488,0,10
64,949550,444,0,6
65,949512,487,0,1
66,949471,528,0,1
67,949471,521,0,8
68,949439,548,0,13
69,949428,557,0,15
70,949427,557,0,16
71,949372,617,0,11
72,949412,576,0,12
73,949396,594,0,10
74,949398,598,0,4
75,949425,568,0,7
76,949500,495,0,5
77,949460,537,0,3
78,949464,535,0,1
79,949468,528,0,4
80,949521,476,0,3
81,949492,505,0,3
82,949498,498,0,4
83,949453,542,0,5
84,949465,531,0,4
85,949455,542,0,3
86,949411,588,0,1
87,949410,590,0,0
88,949376,624,0,0
89,949347,653,0,0
90,949314,686,0,0
91,949281,719,0,0
92,949312,688,0,0
93,949277,723,0,0
94,949244,756,0,0
95,949251,748,0,1
96,949210,789,0,1
97,949185,812,0,3
98,949158,837,0,5
99,949137,855,0,8
100,949057,932,0,11
101,949152,836,0,12
102,949132,859,0,9
103,949173,823,0,4
104,949114,882,0,4
105,949129,867,0,4
106,949129,867,0,4
107,949058,937,0,5
108,949041,955,0,4
109,949123,874,0,3
110,949096,902,0,2
111,949060,939,0,1
112,949051,948,0,1
113,949074,924,0,2
114,949110,887,0,3
115,949055,941,0,4
116,949097,900,0,3
117,949079,916,0,5
118,949003,995,0,2
119,949023,975,0,2
120,949026,973,0,1
121,948982,1017,0,1
122,949024,974,0,2
123,948987,1011,0,2
124,948990,1007,0,3
125,949043,956,0,1
126,949006,994,0,0
127,948980,1017,0,3
