"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,528462,419366,0,2172
2,535824,411719,0,2457
3,543659,403578,0,2763
4,550890,396032,0,3078
5,558522,388112,0,3366
6,566513,379824,0,3663
7,574538,371603,0,3859
8,581636,364159,0,4205
9,589281,356400,0,4319
10,596889,348538,0,4573
11,604269,340782,0,4949
12,610699,334217,0,5084
13,618521,326113,0,5366
14,624891,319474,0,5635
15,631106,312935,0,5959
16,637871,305978,0,6151
17,645038,298670,0,6292
18,650451,292864,0,6685
19,657027,285982,0,6991
20,664646,277851,0,7503
21,670570,271541,0,7889
22,677345,264765,0,7890
23,682183,259887,0,7930
24,688685,253147,0,8168
25,694388,247285,0,8327
26,700898,240713,0,8389
27,705549,236147,0,8304
28,711771,229820,0,8409
29,716719,224668,0,8613
30,721801,219320,0,8879
31,727055,213820,0,9125
32,732477,208262,0,9261
33,737299,203248,0,9453
34,742820,197668,0,9512
35,747703,192748,0,9549
36,751969,188210,0,9821
37,756707,183509,0,9784
38,760335,179755,0,9910
39,763993,175823,0,10184
40,768430,171156,0,10414
41,772693,166460,0,10847
42,776448,162604,0,10948
43,779637,159301,0,11062
44,783945,154786,0,11269
45,787796,150658,0,11546
46,791986,146319,0,11695
47,795156,142902,0,11942
48,798283,139722,0,11995
49,802307,135784,0,11909
50,806193,132030,0,11777
51,809092,128808,0,12100
52,813494,124515,0,11991
53,816989,120686,0,12325
54,819660,117733,0,12607
55,822569,114503,0,12928
56,825410,111574,0,13016
57,828571,108317,0,13112
58,831795,105140,0,13065
59,834692,102163,0,13145
60,837681,99198,0,13121
61,841137,95648,0,13215
62,843697,92950,0,13353
63,847188,89378,0,13434
64,850038,86304,0,13658
65,852787,83571,0,13642
66,854996,81025,0,13979
67,857261,78389,0,14350
68,859059,76367,0,14574
69,861315,74051,0,14634
70,863526,71757,0,14717
71,866076,69111,0,14813
72,868192,67060,0,14748
73,869999,65076,0,14925
74,872105,62917,0,14978
75,874030,61035,0,14935
76,874788,59972,0,15240
77,876537,57952,0,15511
78,878776,55655,0,15569
79,880884,53629,0,15487
80,881933,52270,0,15797
81,883438,50684,0,15878
82,884927,48971,0,16102
83,886797,47298,0,15905
84,888015,45967,0,16018
85,889747,44429,0,15824
86,891340,42848,0,15812
87,892302,41867,0,15831
88,893459,40707,0,15834
89,894323,39696,0,15981
90,895205,38815,0,15980
91,896550,37556,0,15894
92,897349,36460,0,16191
93,898141,35605,0,16254
94,899316,34505,0,16179
95,900563,33081,0,16356
96,901371,32062,0,16567
97,902009,31128,0,16863
98,902903,30089,0,17008
99,903902,28884,0,17214
100,904414,28192,0,17394
101,905059,27219,0,17722
102,906403,25896,0,17701
103,907231,25022,0,17747
104,908203,23895,0,17902
105,908566,23643,0,17791
106,909601,22881,0,17518
107,910371,22243,0,17386
108,910924,21755,0,17321
109,911954,20992,0,17054
110,912269,20506,0,17225
111,912694,19998,0,17308
112,913222,19323,0,17455
113,913847,18364,0,17789
114,914411,17663,0,17926
115,914636,17136,0,18228
116,915137,16677,0,18186
117,915773,16162,0,18065
118,916024,15517,0,18459
119,916882,14914,0,18204
120,917423,14528,0,18049
121,918002,14155,0,17843
122,918768,13289,0,17943
123,919308,12887,0,17805
124,920096,12332,0,17572
125,920496,11947,0,17557
126,920825,11423,0,17752
127,921317,11125,0,17558
128,921491,10869,0,17640
129,921792,10373,0,17835
130,922098,10136,0,17766
131,922648,9666,0,17686
132,923127,9180,0,17693
133,923184,8877,0,17939
134,923702,8465,0,17833
135,923931,8209,0,17860
136,924050,7825,0,18125
137,924291,7581,0,18128
138,924991,7350,0,17659
139,925458,7085,0,17457
140,925846,6797,0,17357
141,926118,6619,0,17263
142,926529,6276,0,17195
143,926718,6035,0,17247
144,927067,5857,0,17076
145,927264,5769,0,16967
146,927809,5564,0,16627
147,928140,5482,0,16378
148,928058,5366,0,16576
149,928196,5195,0,16609
150,928432,4935,0,16633
151,928444,4844,0,16712
152,928851,4765,0,16384
153,928545,4712,0,16743
154,928684,4543,0,16773
155,928949,4452,0,16599
156,929150,4327,0,16523
157,928944,4228,0,16828
158,929271,4030,0,16699
159,929662,3789,0,16549
160,929693,3723,0,16584
161,929892,3455,0,16653
162,930157,3413,0,16430
163,930478,3351,0,16171
164,930931,3100,0,15969
165,930745,3115,0,16140
166,930766,2987,0,16247
167,930898,2764,0,16338
168,931006,2732,0,16262
169,930895,2757,0,16348
170,931204,2667,0,16129
171,931470,2469,0,16061
172,931051,2455,0,16494
173,931336,2282,0,16382
174,931519,2167,0,16314
175,931706,2072,0,16222
176,931664,2102,0,16234
177,931793,1973,0,16234
178,931963,1880,0,16157
179,932151,1789,0,16060
180,932256,1651,0,16093
181,932107,1613,0,16280
182,932058,1529,0,16413
183,932174,1479,0,16347
184,931867,1411,0,16722
185,931847,1303,0,16850
186,931633,1209,0,17158
187,932016,1201,0,16783
188,932354,1178,0,16468
189,932326,1135,0,16539
190,932313,1105,0,16582
191,932521,980,0,16499
192,932596,1009,0,16395
193,932649,991,0,16360
194,932501,974,0,16525
195,932238,945,0,16817
196,932590,932,0,16478
197,933022,863,0,16115
