"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,475852,471869,0,2279
2,476335,471215,0,2450
3,476552,470657,0,2791
4,476078,470916,0,3006
5,477642,469032,0,3326
6,477984,468410,0,3606
7,478584,467494,0,3922
8,479172,466683,0,4145
9,479188,466490,0,4322
10,480390,464908,0,4702
11,480450,464319,0,5231
12,480941,463655,0,5404
13,481573,462713,0,5714
14,482753,461141,0,6106
15,482797,460938,0,6265
16,482404,460947,0,6649
17,482517,460462,0,7021
18,482514,460184,0,7302
19,482787,459706,0,7507
20,482370,459961,0,7669
21,482203,459832,0,7965
22,482814,458901,0,8285
23,483664,457877,0,8459
24,482027,459099,0,8874
25,481620,459381,0,8999
26,481516,459332,0,9152
27,481730,458820,0,9450
28,481724,458446,0,9830
29,482262,457667,0,10071
30,481459,458300,0,10241
31,481230,458396,0,10374
32,481924,457213,0,10863
33,482842,455874,0,11284
34,482323,456179,0,11498
35,482832,455448,0,11720
36,482550,455460,0,11990
37,483229,454243,0,12528
38,482833,454489,0,12678
39,482984,454099,0,12917
40,482176,454444,0,13380
41,482725,453506,0,13769
42,482501,453546,0,13953
43,483044,452379,0,14577
44,482486,452897,0,14617
45,482430,452726,0,14844
46,482382,452867,0,14751
47,483005,452104,0,14891
48,483868,450944,0,15188
49,484250,450236,0,15514
50,482884,451188,0,15928
51,482742,450793,0,16465
52,482871,450426,0,16703
53,481333,451797,0,16870
54,481935,450725,0,17340
55,482743,449281,0,17976
56,482053,449372,0,18575
57,482050,449076,0,18874
58,481966,448774,0,19260
59,481255,449275,0,19470
60,481797,448616,0,19587
61,482112,447766,0,20122
62,482358,447269,0,20373
63,482571,446536,0,20893
64,482228,446657,0,21115
65,481902,446438,0,21660
66,482137,445749,0,22114
67,482771,444622,0,22607
68,483824,443376,0,22800
69,483247,443690,0,23063
70,482717,443680,0,23603
71,483208,443023,0,23769
72,483352,442759,0,23889
73,483510,442255,0,24235
74,482562,443043,0,24395
75,482684,442666,0,24650
76,482653,442447,0,24900
77,482140,442462,0,25398
78,483139,441052,0,25809
79,482909,440817,0,26274
80,482712,440395,0,26893
81,483333,439492,0,27175
82,483847,438484,0,27669
83,483644,438434,0,27922
84,484235,437215,0,28550
85,484786,436531,0,28683
86,485301,435732,0,28967
87,485074,435723,0,29203
88,483794,436230,0,29976
89,483057,436406,0,30537
90,482654,436391,0,30955
91,483073,435893,0,31034
92,483519,435033,0,31448
93,482585,435549,0,31866
94,482356,435505,0,32139
95,482113,435050,0,32837
96,481987,435034,0,32979
97,482273,434279,0,33448
98,480954,435502,0,33544
99,481766,434069,0,34165
100,481679,434081,0,34240
101,481928,433478,0,34594
102,481890,433318,0,34792
103,481282,433601,0,35117
104,481486,432902,0,35612
105,480628,433395,0,35977
106,481320,431939,0,36741
107,481620,431207,0,37173
108,482281,430757,0,36962
109,483599,429209,0,37192
110,483656,428577,0,37767
111,484589,427304,0,38107
112,485049,426412,0,38539
113,485302,425741,0,38957
114,485325,425184,0,39491
115,485121,425071,0,39808
116,485878,424372,0,39750
117,485794,424403,0,39803
118,485752,424181,0,40067
