"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,948810,1140,50,0
2,948749,1164,87,0
3,948705,1157,138,0
4,948670,1154,175,1
5,948642,1140,218,0
6,948643,1130,227,0
7,948634,1106,259,1
8,948613,1110,274,3
9,948596,1104,291,9
10,948508,1128,355,9
11,948451,1135,407,7
12,948331,1187,476,6
13,948276,1233,486,5
14,948215,1276,504,5
15,948160,1287,551,2
16,948070,1319,611,0
17,948051,1337,612,0
18,948048,1330,619,3
19,948036,1342,618,4
20,948021,1302,670,7
21,947960,1297,727,16
22,947929,1317,741,13
23,947867,1341,780,12
24,947785,1381,829,5
25,947809,1345,842,4
26,947808,1380,808,4
27,947762,1411,819,8
28,947748,1394,850,8
29,947695,1396,906,3
30,947617,1452,927,4
31,947592,1465,940,3
32,947519,1477,1004,0
33,947527,1489,984,0
34,947453,1522,1025,0
35,947381,1589,1025,5
36,947372,1567,1058,3
37,947281,1603,1113,3
38,947231,1614,1150,5
39,947204,1607,1178,11
40,947121,1669,1204,6
41,946989,1722,1283,6
42,946971,1762,1260,7
43,946908,1790,1294,8
44,946858,1856,1278,8
45,946756,1953,1285,6
46,946766,1994,1229,11
47,946655,2083,1251,11
48,946578,2097,1318,7
49,946501,2132,1359,8
50,946448,2184,1356,12
51,946416,2282,1293,9
52,946325,2310,1349,16
53,946262,2369,1361,8
54,946230,2388,1375,7
55,946107,2490,1393,10
56,946102,2427,1459,12
57,946062,2508,1423,7
58,945997,2535,1463,5
59,945903,2660,1430,7
60,945807,2751,1440,2
61,945774,2818,1397,11
62,945637,2915,1432,16
63,945525,3018,1453,4
64,945521,3074,1400,5
65,945430,3151,1411,8
66,945350,3193,1445,12
67,945254,3247,1481,18
68,945101,3285,1587,27
69,945063,3306,1609,22
70,945063,3349,1573,15
71,944962,3404,1626,8
72,944887,3444,1663,6
73,944827,3510,1657,6
74,944732,3600,1664,4
75,944644,3688,1663,5
76,944563,3715,1717,5
77,944483,3767,1742,8
78,944338,3848,1801,13
79,944232,3908,1842,18
80,944123,3999,1859,19
81,944062,4044,1881,13
82,944025,4058,1907,10
83,943912,4128,1945,15
84,943863,4156,1969,12
85,943687,4246,2049,18
86,943633,4294,2053,20
87,943463,4432,2082,23
88,943350,4559,2064,27
89,943226,4631,2124,19
90,943126,4692,2172,10
91,943057,4750,2186,7
92,942851,4955,2191,3
93,942699,4989,2303,9
94,942663,4983,2340,14
95,942553,5039,2398,10
96,942486,5041,2464,9
97,942354,5151,2490,5
98,942251,5200,2545,4
99,942122,5251,2622,5
100,942048,5260,2686,6
101,941895,5294,2800,11
102,941806,5454,2732,8
103,941784,5523,2686,7
104,941679,5593,2722,6
105,941550,5688,2754,8
106,941469,5810,2713,8
107,941335,5887,2763,15
108,941203,6004,2770,23
109,941179,6120,2673,28
110,941084,6204,2675,37
111,941044,6202,2710,44
112,940841,6362,2763,34
113,940750,6398,2814,38
114,940638,6488,2835,39
