"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,936819,8432,4733,16
2,933943,8526,7507,24
3,930294,8738,10937,31
4,925992,9081,14902,25
5,921334,9161,19469,36
6,915999,9504,24474,23
7,910539,9628,29808,25
8,904347,9890,35737,26
9,897984,10175,41822,19
10,891104,10453,48415,28
11,883780,10672,55529,19
12,876125,11087,62770,18
13,867680,11255,71045,20
14,858748,11650,79576,26
15,849343,11917,88727,13
16,839697,12387,97898,18
17,829893,12731,107338,38
18,819741,13155,117059,45
19,809239,13584,127134,43
20,798454,13914,137598,34
21,786978,14372,148602,48
22,775284,14850,159813,53
23,763886,15369,170694,51
24,751854,15641,182449,56
25,739210,15947,194797,46
26,726268,16414,207273,45
27,713380,16588,219973,59
28,699495,16856,233613,36
29,685954,17282,246698,66
30,672235,17684,260023,58
31,658171,18112,273653,64
32,643992,18588,287341,79
33,629321,19174,301439,66
34,615368,19703,314844,85
35,601293,20138,328486,83
36,587034,20397,342485,84
37,572422,20896,356610,72
38,557503,21306,371114,77
39,542711,21654,385552,83
40,527869,22170,399887,74
41,513624,22569,413711,96
42,499388,23179,427336,97
43,485015,23718,441174,93
44,470136,24263,455491,110
45,455788,24829,469279,104
46,441268,25395,483233,104
47,426945,26001,496946,108
48,413250,26526,510102,122
49,399774,27136,522968,122
50,386374,27723,535776,127
51,373090,28294,548474,142
52,360282,28948,560635,135
53,347555,29448,572854,143
54,335064,30066,584766,104
55,322833,30699,596334,134
56,310963,31409,607508,120
57,298495,31707,619683,115
58,286929,32343,630578,150
59,275186,32897,641762,155
60,263931,33565,652367,137
61,253387,34364,662098,151
62,242633,35143,672080,144
63,231838,35736,682286,140
64,222063,36254,691519,164
65,212762,37219,699885,134
66,203372,37837,708653,138
67,194265,38257,717332,146
68,185128,38767,725959,146
69,175961,39645,734233,161
70,167449,40431,741972,148
71,159414,41374,749047,165
72,151275,42122,756408,195
73,143634,43209,762985,172
74,136433,43885,769495,187
75,129433,44829,775580,158
76,122768,45695,781364,173
77,116368,46320,787147,165
78,110228,47223,792392,157
79,104190,48162,797478,170
80,98388,49392,802057,163
81,93271,50172,806369,188
82,88284,51117,810445,154
83,83434,52042,814338,186
84,78729,53001,818099,171
85,74357,53622,821851,170
86,70027,54564,825233,176
87,66302,55227,828302,169
88,62688,56169,830977,166
89,59192,57292,833345,171
90,55702,58064,836040,194
91,52140,59100,838579,181
92,48958,59904,840956,182
93,45942,61022,842835,201
94,43068,62211,844556,165
95,40488,63338,845994,180
96,37694,64750,847371,185
97,35173,65866,848776,185
98,32948,66967,849906,179
99,30583,68025,851190,202
100,28316,69141,852355,188
101,26146,70080,853575,199
102,24032,71223,854549,196
103,21981,72421,855414,184
104,19936,73561,856314,189
105,18268,74788,856750,194
106,16391,75932,857481,196
107,14935,77088,857804,173
108,13563,78134,858109,194
109,12165,79024,858618,193
110,11025,80355,858436,184
111,9979,81394,858441,186
112,8885,82600,858325,190
113,8135,83895,857778,192
114,7383,84845,857587,185
115,6703,86008,857106,183
116,6080,87574,856121,225
117,5532,88651,855625,192
118,5054,90195,854582,169
119,4642,91620,853553,185
120,4285,92780,852751,184
121,3848,93810,852142,200
122,3431,95389,850996,184
123,3103,96535,850138,224
124,2808,97836,849189,167
125,2484,99320,848041,155
126,2230,100629,846952,189
127,1997,101905,845919,179
128,1780,103182,844849,189
129,1547,104828,843427,198
130,1348,106395,842082,175
131,1128,107598,841081,193
132,991,108874,839929,206
133,815,110522,838466,197
134,642,112059,837095,204
135,491,113704,835607,198
136,338,115209,834239,214
137,220,116659,832925,196
138,165,118373,831280,182
139,75,119965,829763,197
140,44,121439,828336,181
141,22,122487,827275,216
142,3,124030,825783,184
143,0,125590,824209,201
144,0,127104,822701,195
145,0,128516,821296,188
146,0,130326,819460,214
147,0,131866,817950,184
148,0,133694,816110,196
149,0,134955,814856,189
150,0,136264,813545,191
151,0,138300,811486,214
152,0,139799,810005,196
153,0,141717,808100,183
154,0,143555,806259,186
155,0,145023,804756,221
156,0,146774,803026,200
157,0,148315,801488,197
158,0,149815,800004,181
159,0,151335,798486,179
160,0,153028,796795,177
161,0,154849,794953,198
162,0,156697,793107,196
163,0,158225,791581,194
164,0,159931,789879,190
165,0,161914,787904,182
166,0,163807,785996,197
167,0,165389,784411,200
168,0,167375,782424,201
169,0,168857,780929,214
170,0,170492,779317,191
171,0,172005,777821,174
172,0,173902,775914,184
173,0,175468,774329,203
174,0,176743,773052,205
175,0,178442,771351,207
176,0,180172,769650,178
177,0,181763,768010,227
178,0,183109,766684,207
179,0,185254,764558,188
180,0,187287,762536,177
181,0,188755,761062,183
182,0,190877,758922,201
183,0,192622,757174,204
184,0,194430,755384,186
185,0,196358,753424,218
186,0,198076,751750,174
187,0,199769,750027,204
188,0,201702,748113,185
189,0,203645,746188,167
190,0,205470,744351,179
191,0,207545,742252,203
192,0,209688,740118,194
193,0,211769,738029,202
194,0,214144,735700,156
195,0,216044,733769,187
196,0,217488,732320,192
197,0,219593,730237,170
198,0,221650,728163,187
199,0,223713,726071,216
200,0,225889,723930,181
201,0,227897,721920,183
202,0,229818,719974,208
203,0,231640,718170,190
204,0,233887,715930,183
205,0,236033,713759,208
206,0,237978,711806,216
207,0,240034,709787,179
208,0,242035,707771,194
209,0,244210,705619,171
210,0,246373,703427,200
211,0,248207,701594,199
212,0,250054,699726,220
213,0,251872,697947,181
214,0,254110,695679,211
215,0,256112,693704,184
216,0,257858,691954,188
217,0,259815,689967,218
218,0,262270,687544,186
219,0,264464,685318,218
220,0,266458,683348,194
221,0,268377,681447,176
222,0,270673,679135,192
223,0,272561,677249,190
224,0,274425,675380,195
225,0,276504,673301,195
226,0,278669,671111,220
227,0,281132,668650,218
228,0,283050,666740,210
229,0,285228,664571,201
230,0,287272,662529,199
231,0,289393,660417,190
232,0,291383,658416,201
233,0,293270,656520,210
234,0,295679,654148,173
235,0,297784,652018,198
236,0,300017,649784,199
237,0,302264,647546,190
238,0,304366,645441,193
239,0,306420,643366,214
240,0,308692,641113,195
241,0,311082,638744,174
242,0,313454,636354,192
243,0,315974,633840,186
244,0,318311,631494,195
245,0,320253,629554,193
246,0,322352,627456,192
247,0,324500,625292,208
248,0,326480,623306,214
249,0,328626,621201,173
250,0,330831,618975,194
251,0,332879,616922,199
252,0,335094,614713,193
253,0,337490,612306,204
254,0,339912,609873,215
255,0,342451,607357,192
256,0,344425,605368,207
257,0,346332,603485,183
258,0,348666,601140,194
259,0,351091,598733,176
