"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,949055,880,65,0
2,949033,898,69,0
3,949023,889,88,0
4,949032,866,102,0
5,948978,902,120,0
6,948965,915,120,0
7,948982,906,112,0
8,948949,921,130,0
9,948943,913,144,0
10,948914,945,140,1
11,948887,946,162,5
12,948906,934,152,8
13,948851,969,174,6
14,948794,988,213,5
15,948781,990,220,9
16,948810,961,207,22
17,948793,970,215,22
18,948773,973,227,27
19,948764,979,240,17
20,948742,1044,201,13
21,948753,1042,196,9
22,948746,1016,227,11
23,948685,1047,245,23
24,948677,1061,240,22
25,948619,1156,199,26
26,948620,1128,229,23
27,948551,1185,237,27
28,948602,1162,218,18
29,948599,1166,212,23
30,948578,1201,204,17
31,948552,1228,200,20
32,948532,1249,194,25
33,948531,1254,194,21
34,948512,1261,209,18
35,948455,1285,230,30
36,948465,1264,242,29
37,948405,1313,258,24
38,948440,1320,214,26
39,948419,1360,196,25
40,948379,1376,216,29
41,948425,1345,213,17
42,948427,1352,199,22
43,948475,1297,209,19
44,948517,1262,200,21
45,948478,1282,217,23
46,948465,1296,216,23
47,948439,1318,216,27
48,948452,1277,240,31
49,948443,1267,264,26
50,948462,1262,246,30
51,948500,1260,212,28
52,948524,1241,208,27
53,948498,1252,218,32
54,948512,1235,217,36
55,948494,1254,223,29
56,948495,1242,227,36
57,948471,1261,232,36
58,948491,1248,242,19
59,948470,1262,249,19
60,948483,1262,236,19
61,948485,1273,230,12
62,948466,1277,247,10
63,948491,1235,260,14
64,948432,1274,285,9
65,948361,1350,280,9
66,948368,1345,275,12
67,948365,1311,309,15
68,948406,1291,289,14
69,948400,1309,278,13
70,948448,1272,257,23
71,948494,1207,278,21
72,948508,1209,260,23
73,948511,1221,247,21
74,948516,1201,263,20
75,948579,1160,234,27
76,948625,1120,231,24
77,948659,1088,237,16
78,948649,1108,230,13
79,948656,1080,246,18
80,948609,1125,245,21
81,948571,1130,280,19
82,948573,1158,244,25
83,948634,1117,225,24
84,948643,1117,214,26
85,948626,1151,195,28
86,948620,1165,181,34
87,948575,1181,204,40
88,948580,1163,217,40
89,948595,1164,212,29
90,948586,1152,231,31
91,948556,1193,218,33
92,948543,1219,211,27
93,948557,1206,214,23
94,948556,1178,234,32
95,948531,1191,255,23
96,948621,1135,218,26
97,948592,1141,238,29
98,948585,1171,228,16
99,948598,1171,216,15
100,948624,1143,220,13
101,948650,1114,225,11
102,948652,1106,230,12
103,948678,1097,205,20
104,948620,1142,207,31
105,948607,1150,212,31
106,948613,1162,200,25
107,948700,1105,174,21
108,948695,1114,170,21
109,948714,1093,179,14
110,948695,1100,195,10
111,948702,1079,212,7
112,948699,1089,201,11
113,948679,1099,206,16
114,948692,1095,197,16
115,948721,1081,185,13
116,948681,1126,179,14
117,948661,1147,178,14
118,948659,1160,170,11
119,948699,1122,159,20
120,948688,1119,180,13
121,948683,1101,201,15
122,948639,1151,199,11
123,948621,1167,202,10
124,948603,1186,204,7
125,948549,1225,212,14
126,948578,1210,196,16
127,948560,1204,224,12
128,948547,1226,212,15
129,948524,1238,228,10
130,948516,1273,206,5
131,948536,1273,188,3
132,948583,1224,191,2
133,948589,1209,198,4
134,948583,1242,171,4
135,948557,1214,218,11
136,948578,1215,199,8
137,948615,1144,223,18
138,948689,1119,183,9
139,948680,1154,164,2
140,948667,1151,177,5
141,948680,1120,197,3
142,948662,1138,198,2
143,948604,1186,207,3
144,948584,1217,191,8
145,948584,1210,194,12
146,948579,1215,194,12
147,948575,1209,208,8
148,948584,1217,185,14
149,948505,1259,220,16
150,948540,1222,219,19
151,948515,1230,236,19
152,948510,1258,217,15
153,948491,1272,211,26
154,948484,1254,235,27
155,948470,1285,203,42
156,948488,1254,218,40
157,948482,1262,225,31
158,948430,1324,201,45
159,948419,1326,210,45
160,948468,1284,202,46
161,948492,1251,200,57
162,948506,1234,208,52
163,948488,1271,188,53
164,948465,1280,205,50
165,948488,1286,192,34
166,948508,1270,187,35
167,948526,1274,164,36
168,948541,1269,159,31
169,948475,1330,167,28
170,948528,1298,146,28
171,948510,1281,173,36
172,948527,1268,179,26
173,948549,1238,178,35
174,948542,1252,170,36
175,948534,1273,158,35
176,948509,1287,165,39
177,948515,1282,160,43
178,948535,1270,167,28
179,948549,1255,166,30
180,948535,1249,186,30
181,948467,1298,197,38
182,948484,1276,203,37
183,948429,1292,235,44
184,948378,1351,228,43
185,948371,1377,212,40
186,948439,1332,196,33
187,948485,1316,168,31
188,948463,1339,165,33
189,948514,1307,156,23
190,948515,1308,155,22
191,948514,1297,171,18
