"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,948805,848,345,2
2,948545,901,554,0
3,948241,999,760,0
4,947948,1085,967,0
5,947650,1193,1156,1
6,947312,1321,1366,1
7,946889,1451,1660,0
8,946428,1670,1902,0
9,945929,1913,2154,4
10,945386,2152,2460,2
11,944935,2365,2700,0
12,944366,2681,2953,0
13,943668,3005,3326,1
14,942994,3296,3708,2
15,942258,3615,4125,2
16,941589,3932,4475,4
17,940776,4297,4924,3
18,939928,4674,5398,0
19,939077,5041,5880,2
20,938156,5521,6317,6
21,937234,6010,6754,2
22,936239,6523,7234,4
23,935281,7052,7665,2
24,934218,7657,8122,3
25,933118,8253,8628,1
26,932155,8861,8983,1
27,931021,9551,9425,3
28,929721,10337,9938,4
29,928394,11078,10526,2
30,927051,11941,11008,0
31,925848,12806,11344,2
32,924411,13725,11858,6
33,923078,14652,12268,2
34,921667,15589,12737,7
35,920070,16687,13240,3
36,918386,17727,13879,8
37,916936,18652,14404,8
38,915261,19816,14921,2
39,913683,20864,15447,6
40,912021,21939,16039,1
41,910127,23119,16752,2
42,908456,24239,17294,11
43,906477,25488,18026,9
44,904667,26735,18593,5
45,902633,27971,19387,9
46,900876,29469,19644,11
47,898903,30819,20273,5
48,896829,32321,20845,5
49,894721,33882,21388,9
50,892776,35474,21739,11
51,890520,37077,22391,12
52,888341,38775,22868,16
53,886135,40417,23435,13
54,883964,42179,23850,7
55,881465,43902,24614,19
56,879056,45746,25185,13
57,876702,47598,25681,19
58,874244,49251,26492,13
59,871993,51094,26899,14
60,869373,53080,27537,10
61,866859,55046,28083,12
62,864378,57026,28580,16
63,861647,59085,29258,10
64,859076,60941,29970,13
65,856302,63054,30632,12
66,853655,65120,31212,13
67,851120,67282,31576,22
68,848424,69347,32217,12
69,845637,71698,32642,23
70,842764,73953,33264,19
71,839843,76404,33734,19
72,837202,78603,34170,25
73,834297,80977,34712,14
74,831390,83339,35248,23
75,828465,85663,35854,18
76,825584,88094,36292,30
77,822745,90598,36622,35
78,819730,93022,37220,28
79,816349,95456,38160,35
80,813299,97853,38837,11
81,810139,100398,39443,20
82,806619,102911,40444,26
83,803611,105268,41103,18
84,800255,108077,41646,22
85,796958,110600,42415,27
86,793495,113207,43273,25
87,790118,115822,44022,38
88,786718,118503,44748,31
89,783241,121366,45374,19
90,779608,124292,46073,27
91,776093,127098,46782,27
92,772271,129823,47882,24
93,768487,132904,48588,21
94,764942,135809,49228,21
95,761254,138906,49810,30
96,757377,141664,50926,33
97,754055,144576,51336,33
98,750173,147466,52342,19
99,746216,150616,53129,39
100,742536,153609,53822,33
101,738752,157009,54211,28
102,735014,159906,55045,35
103,730729,163336,55902,33
104,727232,166457,56263,48
105,723457,169590,56903,50
106,719380,173059,57526,35
107,715548,176133,58275,44
108,711360,179739,58846,55
109,707545,182791,59616,48
110,703341,186329,60291,39
111,699340,189657,60968,35
112,695339,193146,61467,48
113,691223,196684,62039,54
114,687246,200018,62689,47
115,683463,203371,63130,36
116,679314,206991,63638,57
117,675682,210156,64106,56
118,671386,213830,64729,55
119,667328,217479,65139,54
120,663414,220940,65599,47
121,659348,224597,65988,67
122,655283,228258,66406,53
123,651399,231927,66622,52
124,647411,235722,66815,52
125,643282,239366,67285,67
126,639542,243032,67363,63
127,635687,246802,67444,67
128,632082,250402,67457,59
129,628084,254158,67705,53
130,624188,257890,67872,50
131,620050,261576,68313,61
132,616362,265430,68160,48
133,612701,269103,68121,75
134,609009,272854,68065,72
135,605209,276739,67981,71
136,601382,280608,67947,63
137,597845,284304,67771,80
138,593926,288007,68009,58
139,590178,292054,67686,82
140,586446,296338,67151,65
141,582605,300302,67027,66
142,579030,303981,66920,69
143,575393,307779,66759,69
144,571380,311880,66664,76
145,567507,315864,66547,82
146,563377,319444,67112,67
147,559749,323694,66483,74
148,556096,327653,66183,68
149,552257,331224,66413,106
150,548550,334994,66381,75
151,544982,338699,66232,87
152,541079,342666,66178,77
153,537523,346316,66088,73
154,533817,350185,65920,78
155,530029,353788,66088,95
156,526537,357522,65848,93
157,522891,360874,66155,80
158,519152,364795,65959,94
159,515547,368318,66053,82
160,511756,372020,66156,68
161,508301,375368,66228,103
162,504505,378982,66417,96
163,500920,382256,66725,99
164,497513,385907,66486,94
165,493701,389377,66854,68
166,490136,393113,66670,81
167,486462,396540,66912,86
168,482574,399952,67386,88
169,478731,403383,67806,80
170,475101,406873,67945,81
171,471572,410230,68116,82
172,467979,413930,67997,94
173,464522,417391,67970,117
174,460812,420851,68230,107
175,457145,424514,68236,105
176,453432,427895,68574,99
177,449771,431757,68389,83
178,446204,435240,68452,104
179,442568,438980,68341,111
180,438936,442502,68460,102
181,435060,446252,68600,88
182,431458,449902,68546,94
183,427952,453419,68528,101
184,424055,456984,68855,106
185,420376,460645,68871,108
186,416865,464575,68460,100
