"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,948712,1022,266,0
2,948491,1070,439,0
3,948193,1157,650,0
4,947947,1247,806,0
5,947595,1345,1060,0
6,947217,1493,1290,0
7,946785,1632,1580,3
8,946254,1832,1913,1
9,945696,2073,2230,1
10,945234,2302,2464,0
11,944577,2582,2840,1
12,943929,2841,3228,2
13,943196,3179,3620,5
14,942523,3480,3994,3
15,941860,3795,4345,0
16,941065,4172,4760,3
17,940269,4554,5175,2
18,939256,5051,5693,0
19,938265,5616,6119,0
20,937243,6143,6609,5
21,936225,6716,7058,1
22,935111,7439,7448,2
23,933959,8061,7974,6
24,932661,8825,8510,4
25,931480,9521,8998,1
26,930269,10253,9474,4
27,928903,11077,10012,8
28,927591,11903,10500,6
29,926121,12850,11026,3
30,924630,13808,11558,4
31,923172,14656,12167,5
32,921621,15555,12819,5
33,920088,16522,13383,7
34,918431,17593,13969,7
35,916649,18641,14707,3
36,914859,19632,15501,8
37,913164,20697,16130,9
38,911420,21753,16818,9
39,909606,22844,17543,7
40,907656,24005,18334,5
41,905680,25118,19193,9
42,903693,26397,19902,8
43,901589,27697,20711,3
44,899311,28907,21770,12
45,897161,30180,22646,13
46,894968,31485,23541,6
47,892674,32806,24514,6
48,890333,34048,25607,12
49,887975,35532,26479,14
50,885755,36698,27530,17
51,883250,38012,28729,9
52,880982,39463,29541,14
53,878316,40881,30795,8
54,875738,42272,31974,16
55,873050,43753,33191,6
56,870585,45203,34198,14
57,867957,46636,35400,7
58,865373,48092,36521,14
59,862632,49570,37781,17
60,859892,51225,38864,19
61,857217,52879,39879,25
62,854503,54488,40989,20
63,851703,56093,42183,21
64,848826,57522,43630,22
65,845837,59143,45001,19
66,842699,60889,46383,29
67,839798,62464,47714,24
68,836892,64020,49073,15
69,833770,65455,50743,32
70,830803,67097,52079,21
71,827611,68443,53927,19
72,824516,70103,55361,20
73,821555,71537,56886,22
74,818237,73370,58366,27
75,815202,74812,59958,28
76,811662,76448,61858,32
77,808412,78064,63489,35
78,804948,79874,65140,38
79,801458,81342,67155,45
80,797920,82934,69119,27
81,794575,84397,71003,25
82,790672,86236,73069,23
83,787238,88098,74637,27
84,783569,89937,76476,18
85,780138,91668,78170,24
86,776234,93255,80474,37
87,772520,94905,82533,42
88,768970,96447,84554,29
89,765225,98087,86668,20
90,761315,99788,88863,34
91,757568,101378,91000,54
92,753778,103135,93051,36
93,749942,104929,95082,47
94,746230,106598,97137,35
95,742291,108112,99554,43
96,738244,109912,101815,29
97,734021,111627,104305,47
98,729903,113080,106983,34
99,725559,114602,109796,43
100,721687,115958,112316,39
101,717455,117747,114749,49
102,713601,119295,117058,46
103,709754,120606,119586,54
104,705539,122238,122160,63
105,701671,123756,124515,58
106,697640,125252,127057,51
107,693663,126712,129578,47
108,689607,128351,132000,42
109,685286,129952,134699,63
110,681325,131581,137031,63
111,677196,132676,140072,56
112,673036,134068,142842,54
113,668818,135219,145901,62
114,664771,136580,148582,67
115,660637,137781,151527,55
116,656432,139265,154249,54
117,652240,140790,156925,45
118,648035,142212,159678,75
119,643682,143256,162994,68
120,639470,144658,165790,82
121,635295,145781,168877,47
122,630847,146850,172236,67
123,626634,148282,175030,54
124,622213,149681,178039,67
125,617838,150732,181379,51
126,613231,151990,184711,68
127,609059,152713,188168,60
128,604431,153832,191670,67
129,599899,154908,195113,80
130,595442,156112,198360,86
131,590887,157037,202001,75
132,586422,158074,205443,61
133,581795,159150,209000,55
134,577009,160453,212467,71
135,572085,161416,216424,75
136,567246,162111,220550,93
137,562658,163060,224214,68
138,557988,163744,228189,79
139,553334,164404,232185,77
140,548548,165485,235894,73
141,543412,166609,239908,71
142,538634,167707,243589,70
143,533698,168474,247747,81
144,528545,169318,252047,90
145,524020,170211,255671,98
146,519264,171048,259596,92
147,514296,171941,263676,87
148,509577,172775,267567,81
149,504660,173475,271776,89
150,499753,174213,275932,102
151,495297,174682,279919,102
152,490172,175397,284332,99
153,485450,176116,288343,91
154,480450,176622,292827,101
155,475519,177599,296796,86
156,470427,178041,301433,99
157,465510,178605,305799,86
158,460681,179177,310028,114
159,455623,179697,314577,103
160,450707,180312,318885,96
161,445951,181082,322880,87
162,441412,181657,326818,113
163,436337,182276,331278,109
164,431530,183118,335245,107
165,426492,183783,339606,119
166,421595,184355,343944,106
167,416678,185142,348064,116
168,412030,185932,351896,142
169,407415,186379,356096,110
170,402749,187002,360133,116
171,398064,187682,364141,113
172,393434,188333,368129,104
173,388689,188487,372690,134
174,383930,189132,376835,103
175,379052,189750,381100,98
176,374360,190518,384991,131
177,369671,190948,389272,109
178,364971,191700,393210,119
179,360281,192459,397138,122
180,355303,193162,401418,117
181,350511,193792,405564,133
182,345733,194505,409633,129
183,341214,194697,413985,104
184,336410,195346,418118,126
185,331743,195641,422473,143
186,327068,196427,426371,134
187,322533,196788,430567,112
188,317644,196897,435344,115
189,313063,197486,439342,109
190,308387,197792,443701,120
191,303788,198294,447780,138
192,298876,198868,452118,138
193,294160,199310,456380,150
194,289606,199924,460334,136
195,284697,200327,464823,153
196,280080,200519,469254,147
197,275336,201083,473456,125
198,270761,201150,477950,139
199,266109,201223,482509,159
200,261497,201647,486712,144
201,256858,202041,490949,152
202,252427,202793,494618,162
203,247730,203059,499071,140
204,243197,203218,503464,121
205,238798,203660,507400,142
206,234563,204137,511135,165
207,230342,204646,514877,135
208,226173,204982,518704,141
209,221918,205158,522758,166
210,217960,205053,526849,138
211,213763,205220,530864,153
212,209488,205706,534680,126
213,205364,206026,538457,153
214,201253,206104,542492,151
215,197009,206196,546652,143
216,193020,206630,550184,166
217,188895,207150,553780,175
218,185008,207302,557540,150
219,180826,207669,561318,187
220,176696,208259,564881,164
221,172586,208143,569123,148
222,168786,208767,572272,175
223,164814,208824,576193,169
224,161066,209377,579401,156
225,157374,209642,582842,142
226,153611,209851,586342,196
227,149876,210123,589801,200
228,145838,210068,593906,188
229,141796,210561,597465,178
230,137827,210725,601247,201
231,133742,210960,605124,174
232,130282,210816,608725,177
233,126559,210869,612391,181
234,122957,211260,615596,187
235,119147,211200,619489,164
236,115904,210938,622976,182
237,112428,211231,626133,208
238,108977,211494,629361,168
239,105682,212074,632067,177
240,102503,212096,635234,167
241,99242,212040,638542,176
242,96066,212354,641352,228
243,92948,212493,644352,207
244,89856,212688,647229,227
245,86907,212847,650084,162
246,84089,212713,653024,174
247,81203,213119,655502,176
248,78403,213175,658243,179
249,75689,212955,661165,191
250,72664,213413,663747,176
251,69978,213522,666319,181
252,67281,213751,668791,177
253,64732,214053,671005,210
254,62162,214293,673356,189
255,59633,214090,676089,188
256,57260,213859,678693,188
257,54885,214267,680643,205
258,52467,214514,682837,182
259,50190,214703,684920,187
260,47751,214434,687591,224
261,45602,214333,689901,164
262,43476,214583,691747,194
263,41646,214669,693482,203
264,39684,214954,695191,171
265,37980,215098,696741,181
266,36299,215428,698061,212
267,34938,215313,699540,209
268,33475,215586,700737,202
269,32230,215785,701785,200
270,30997,215588,703218,197
271,29738,215438,704650,174
272,28657,215583,705580,180
273,27497,215682,706629,192
274,26446,215903,707452,199
275,25112,215712,708981,195
276,24068,215854,709881,197
277,22879,216028,710848,245
278,22054,216110,711661,175
279,20954,216352,712517,177
280,20136,216088,713545,231
281,19242,216482,714079,197
282,18195,216248,715365,192
283,17355,216031,716439,175
284,16370,215865,717567,198
285,15569,215763,718478,190
286,14609,215627,719581,183
287,13754,215454,720559,233
288,13065,215536,721192,207
289,12126,215780,721912,182
290,11349,215618,722852,181
291,10598,215618,723598,186
292,9991,215717,724123,169
293,9329,215812,724649,210
294,8762,215764,725265,209
295,8231,215815,725750,204
296,7623,215523,726673,181
297,7050,215254,727508,188
298,6503,215267,728038,192
299,6027,215651,728077,245
300,5511,215464,728849,176
301,5032,215359,729416,193
302,4608,215067,730118,207
303,4245,215075,730479,201
304,3872,214864,731092,172
305,3521,215384,730893,202
306,3225,215438,731151,186
