"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,936506,10480,3012,2
2,933893,11008,5097,2
3,931111,11563,7324,2
4,928085,12486,9426,3
5,924873,13553,11564,10
6,921036,14859,14094,11
7,916939,16741,16310,10
8,912500,18593,18897,10
9,907859,20426,21706,9
10,902817,22790,24388,5
11,897268,25395,27327,10
12,891461,28270,30257,12
13,885208,31319,33456,17
14,879107,34379,36491,23
15,872208,37882,39891,19
16,864829,41640,43515,16
17,857533,45752,46694,21
18,849874,50354,49748,24
19,841764,55093,53118,25
20,832975,59975,57027,23
21,824301,65373,60300,26
22,815898,70814,63262,26
23,806939,76456,66566,39
24,797586,82801,69588,25
25,787774,89073,73121,32
26,778159,95377,76426,38
27,768344,101872,79746,38
28,758230,108489,83245,36
29,748161,115344,86461,34
30,737923,122239,89798,40
31,726556,129627,93775,42
32,715082,136816,98069,33
33,704085,144344,101519,52
34,693121,152173,104661,45
35,681846,160231,107890,33
36,670466,168670,110810,54
37,658744,176974,114231,51
38,647284,185436,117216,64
39,636368,193599,119981,52
40,625237,202007,122688,68
41,613786,210320,125823,71
42,601910,219117,128903,70
43,590237,227230,132474,59
44,578687,235418,135835,60
45,567006,244256,138670,68
46,555790,252306,141824,80
47,544258,261106,144554,82
48,532774,269589,147553,84
49,521689,277950,150284,77
50,509789,286430,153697,84
51,498563,294664,156693,80
52,486811,302992,160106,91
53,475416,311270,163196,118
54,464025,319584,166278,113
55,453250,327611,169040,99
56,442435,335383,172071,111
57,431815,342964,175118,103
58,420764,350690,178437,109
59,410778,358062,181062,98
60,400362,365419,184116,103
61,389607,372723,187553,117
62,379506,380100,190275,119
63,369098,387136,193643,123
64,359196,394319,196344,141
65,349208,400614,200026,152
66,339293,407290,203286,131
67,329466,413527,206871,136
68,319989,419981,209906,124
69,310855,426104,212921,120
70,301428,432234,216197,141
71,292122,438030,219723,125
72,283202,443940,222716,142
73,274190,449328,226318,164
74,265351,454845,229648,156
75,256449,459703,233726,122
76,247656,465142,237048,154
77,238708,470599,240531,162
78,230235,475506,244110,149
79,222201,480822,246813,164
80,214087,485766,249998,149
81,205870,490116,253854,160
82,198098,495100,256649,153
83,190596,499112,260134,158
84,183343,503137,263345,175
85,175912,507331,266613,144
86,168749,511879,269179,193
87,161730,516330,271773,167
88,154758,519889,275209,144
89,148638,523415,277776,171
90,142510,527431,279889,170
91,136966,530594,282255,185
92,131239,534130,284451,180
93,126276,537691,285852,181
94,120927,540507,288377,189
95,115946,543786,290087,181
96,111130,547245,291430,195
97,106444,549954,293395,207
98,101833,552746,295223,198
99,97376,555519,296908,197
100,93145,558356,298316,183
101,89224,560897,299686,193
102,85359,563157,301293,191
103,81499,565289,303031,181
104,77924,567317,304582,177
105,74029,568964,306811,196
106,70614,570579,308638,169
107,66932,572264,310631,173
108,63446,574104,312273,177
109,60010,575684,314151,155
110,56931,577426,315457,186
111,54034,578366,317411,189
112,51040,579509,319237,214
113,48327,580284,321213,176
114,45699,581603,322500,198
115,43313,582543,323969,175
116,41161,583472,325171,196
117,38816,584029,326964,191
118,36651,584838,328336,175
119,34747,585831,329243,179
120,33002,586481,330337,180
121,31055,587183,331576,186
122,29300,587263,333239,198
123,27746,588150,333912,192
124,26176,587972,335667,185
125,24507,588722,336604,167
126,23040,589501,337272,187
127,21623,589959,338226,192
128,20011,590555,339224,210
129,18582,590877,340342,199
130,17343,591013,341399,245
131,16094,591627,342052,227
132,15006,592504,342275,215
133,13927,592337,343530,206
134,12723,593036,344033,208
135,11661,593090,345091,158
136,10586,593206,346013,195
137,9823,593098,346875,204
138,8798,593255,347745,202
139,7885,593971,347937,207
140,6991,594266,348546,197
141,6138,594029,349641,192
142,5445,593911,350455,189
143,4597,594212,350978,213
144,3809,594809,351195,187
145,3158,594779,351890,173
146,2544,594747,352496,213
147,2050,595119,352633,198
148,1658,595068,353057,217
149,1287,594705,353798,210
150,978,595212,353612,198
151,712,595569,353532,187
152,530,595562,353696,212
153,344,595041,354404,211
154,216,595782,353771,231
155,111,595389,354317,183
156,63,595594,354137,206
157,37,595495,354274,194
158,24,595845,353940,191
159,1,596074,353732,193
160,0,596317,353482,201
161,0,596350,353448,202
162,0,596071,353713,216
163,0,596171,353629,200
164,0,595914,353898,188
165,0,595646,354136,218
166,0,595635,354182,183
167,0,595259,354543,198
168,0,595284,354502,214
169,0,595322,354482,196
170,0,595428,354370,202
171,0,595181,354585,234
172,0,594970,354853,177
173,0,595383,354412,205
174,0,595726,354100,174
175,0,595411,354373,216
176,0,595316,354490,194
177,0,594909,354888,203
178,0,595193,354638,169
179,0,595099,354708,193
180,0,594532,355260,208
181,0,594661,355124,215
182,0,594612,355191,197
183,0,594564,355245,191
184,0,594421,355365,214
185,0,594272,355533,195
186,0,593821,355939,240
187,0,594163,355651,186
188,0,594539,355280,181
189,0,594712,355081,207
190,0,594502,355309,189
191,0,594424,355359,217
192,0,594749,355051,200
193,0,594981,354824,195
194,0,594974,354821,205
195,0,595091,354683,226
196,0,594756,355025,219
197,0,594392,355412,196
198,0,594189,355623,188
199,0,594490,355289,221
200,0,594750,355046,204
201,0,594680,355136,184
202,0,594218,355596,186
203,0,593897,355899,204
204,0,593594,356236,170
205,0,593450,356372,178
206,0,593493,356297,210
207,0,592767,357058,175
208,0,592956,356813,231
209,0,593419,356357,224
210,0,593686,356113,201
211,0,593838,355952,210
212,0,594108,355683,209
213,0,593962,355848,190
214,0,594686,355131,183
215,0,594483,355331,186
216,0,594599,355216,185
217,0,594008,355787,205
218,0,594211,355589,200
219,0,594633,355180,187
220,0,594689,355134,177
221,0,594897,354918,185
222,0,594025,355773,202
223,0,594182,355589,229
224,0,593546,356259,195
225,0,593134,356656,210
226,0,593763,356046,191
227,0,593784,355992,224
228,0,593719,356068,213
229,0,592893,356919,188
230,0,592852,356961,187
231,0,593232,356578,190
232,0,593112,356681,207
233,0,593335,356435,230
234,0,592880,356910,210
235,0,593078,356728,194
236,0,592672,357109,219
237,0,592873,356901,226
238,0,592676,357122,202
239,0,592880,356930,190
240,0,593534,356266,200
241,0,593496,356316,188
242,0,593399,356375,226
243,0,593351,356404,245
244,0,592596,357202,202
245,0,592673,357151,176
246,0,593068,356748,184
247,0,592474,357313,213
248,0,592733,357059,208
249,0,592745,357096,159
250,0,592789,356980,231
251,0,592417,357370,213
252,0,592686,357096,218
253,0,592379,357420,201
254,0,592770,357051,179
255,0,592819,356994,187
256,0,593414,356382,204
257,0,592950,356860,190
258,0,592828,356997,175
259,0,592620,357179,201
260,0,592406,357412,182
261,0,592316,357500,184
262,0,592585,357217,198
263,0,592416,357403,181
264,0,592060,357753,187
265,0,591832,357972,196
266,0,591377,358431,192
267,0,591793,357999,208
268,0,591129,358666,205
269,0,591667,358151,182
270,0,591529,358282,189
271,0,591637,358171,192
272,0,591874,357907,219
273,0,592163,357612,225
274,0,592189,357610,201
275,0,592460,357360,180
276,0,592538,357278,184
277,0,593308,356509,183
278,0,593016,356793,191
279,0,592797,357009,194
280,0,592626,357161,213
281,0,592972,356821,207
282,0,592953,356852,195
283,0,592607,357171,222
284,0,592720,357056,224
285,0,592489,357328,183
286,0,591866,357940,194
287,0,592173,357627,200
288,0,592195,357620,185
289,0,592435,357336,229
290,0,592341,357461,198
291,0,592991,356835,174
292,0,593176,356640,184
293,0,593417,356375,208
294,0,593497,356283,220
295,0,593617,356145,238
296,0,593396,356411,193
297,0,593574,356242,184
298,0,593273,356541,186
299,0,593228,356572,200
300,0,592674,357124,202
301,0,592456,357331,213
302,0,592013,357767,220
303,0,591669,358133,198
304,0,591623,358159,218
305,0,591542,358272,186
306,0,592224,357576,200
307,0,591405,358419,176
308,0,591681,358107,212
309,0,591834,357973,193
310,0,591470,358325,205
311,0,591442,358339,219
312,0,591281,358515,204
313,0,591634,358184,182
314,0,590837,358991,172
315,0,591507,358283,210
316,0,591080,358724,196
317,0,591239,358562,199
318,0,591090,358698,212
319,0,591077,358712,211
320,0,591222,358578,200
321,0,591669,358155,176
322,0,591818,357979,203
323,0,591600,358197,203
324,0,591819,357997,184
325,0,591821,357982,197
326,0,592402,357409,189
327,0,592229,357580,191
328,0,592666,357127,207
329,0,592854,356983,163
330,0,592480,357347,173
331,0,593049,356729,222
332,0,592851,356915,234
333,0,593186,356618,196
334,0,593267,356540,193
335,0,593980,355800,220
336,0,593911,355871,218
337,0,593722,356069,209
338,0,593353,356430,217
339,0,592956,356831,213
340,0,592999,356825,176
341,0,592613,357202,185
342,0,592242,357545,213
343,0,592980,356817,203
344,0,593947,355848,205
345,0,593657,356131,212
346,0,593423,356368,209
347,0,593232,356556,212
348,0,593019,356782,199
349,0,592503,357294,203
350,0,592884,356918,198
351,0,592479,357329,192
352,0,592432,357366,202
353,0,592352,357452,196
354,0,592114,357657,229
355,0,591540,358249,211
356,0,591705,358090,205
357,0,591966,357858,176
358,0,592286,357514,200
359,0,592248,357541,211
360,0,592668,357124,208
361,0,592426,357365,209
362,0,591912,357913,175
363,0,592235,357586,179
364,0,591927,357877,196
365,0,591745,358047,208
366,0,591728,358071,201
367,0,591437,358384,179
368,0,591280,358505,215
369,0,591099,358698,203
370,0,590300,359484,216
371,0,590240,359559,201
372,0,589372,360447,181
373,0,589122,360652,226
374,0,589128,360692,180
375,0,588028,361792,180
376,0,588550,361242,208
377,0,587695,362118,187
378,0,587345,362448,207
379,0,587500,362302,198
380,0,587273,362552,175
381,0,587833,361944,223
382,0,587355,362438,207
383,0,587256,362563,181
384,0,587355,362439,206
385,0,587870,361948,182
386,0,587696,362102,202
387,0,587996,361800,204
388,0,588079,361752,169
389,0,588347,361457,196
390,0,588026,361748,226
391,0,588869,360941,190
392,0,588510,361303,187
393,0,588970,360817,213
394,0,589027,360752,221
395,0,589127,360683,190
396,0,589101,360703,196
397,0,589036,360782,182
398,0,588460,361343,197
399,0,588475,361326,199
400,0,588682,361107,211
401,0,588565,361248,187
402,0,588060,361765,175
403,0,587749,362031,220
404,0,587964,361829,207
405,0,588501,361319,180
406,0,588499,361313,188
407,0,588537,361270,193
408,0,589318,360502,180
409,0,589357,360411,232
410,0,589603,360191,206
411,0,590206,359605,189
412,0,590617,359182,201
413,0,590531,359274,195
414,0,591050,358749,201
415,0,590741,359064,195
416,0,589927,359861,212
417,0,590148,359668,184
418,0,590089,359713,198
419,0,589676,360105,219
420,0,589690,360087,223
421,0,589898,359905,197
422,0,589760,360050,190
423,0,589518,360301,181
424,0,588834,360978,188
425,0,588949,360853,198
426,0,589192,360634,174
427,0,589372,360395,233
428,0,589110,360684,206
429,0,589457,360361,182
430,0,589627,360168,205
431,0,589223,360585,192
432,0,588761,361041,198
433,0,588508,361275,217
434,0,588207,361596,197
435,0,587854,361954,192
436,0,587924,361850,226
437,0,587804,362006,190
