"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,511089,421265,15596,2050
2,505917,417598,24267,2218
3,499902,414512,33263,2323
4,493255,412024,42351,2370
5,486904,409192,51366,2538
6,480343,406870,60189,2598
7,473650,405178,68589,2583
8,466903,403064,77423,2610
9,460117,401386,85854,2643
10,453414,399696,94191,2699
11,447005,398603,101695,2697
12,440160,398105,108921,2814
13,434179,397019,115884,2918
14,427294,396504,123193,3009
15,420723,396187,130122,2968
16,413331,396783,137023,2863
17,406317,397496,143367,2820
18,399778,397837,149584,2801
19,393027,399132,154893,2948
20,386928,399414,160684,2974
21,380509,400240,166339,2912
22,374085,401725,171312,2878
23,367630,402751,176588,3031
24,361954,403956,181027,3063
25,355398,405888,185679,3035
26,348776,407301,190726,3197
27,342332,409409,194878,3381
28,335660,411390,199427,3523
29,329682,413402,203411,3505
30,323493,415475,207491,3541
31,317270,418064,211112,3554
32,311436,420254,214743,3567
33,305512,422539,218390,3559
34,300171,424557,221709,3563
35,294887,427157,224244,3712
36,288751,429818,227666,3765
37,283121,432694,230473,3712
38,277849,435903,232469,3779
39,272265,439385,234588,3762
40,266973,441814,237495,3718
41,261907,444498,239781,3814
42,256983,448257,240916,3844
43,252018,450379,243704,3899
44,246632,453913,245616,3839
45,241156,457332,247707,3805
46,236032,460494,249668,3806
47,230486,463907,251771,3836
48,225636,468227,252243,3894
49,221035,472217,252958,3790
50,216399,475967,253815,3819
51,211717,479840,254658,3785
52,207637,483312,255282,3769
53,202399,487194,256624,3783
54,197763,490830,257601,3806
55,193577,495110,257592,3721
56,188885,498999,258331,3785
57,185112,502399,258623,3866
58,181008,507069,258111,3812
59,177638,511048,257450,3864
60,173886,515047,257133,3934
61,169881,518698,257463,3958
62,166041,522474,257482,4003
63,162680,526998,256428,3894
64,158433,531680,255981,3906
65,154883,535786,255392,3939
66,151198,540496,254316,3990
67,147375,544466,254023,4136
68,143803,548732,253356,4109
69,140202,552544,253300,3954
70,136383,557061,252597,3959
71,133484,560833,251660,4023
72,129521,564525,252127,3827
73,126439,569152,250564,3845
74,123634,573185,249303,3878
75,120780,576938,248389,3893
76,117419,580955,247690,3936
77,114525,585628,245856,3991
78,111483,589458,245026,4033
79,108681,593152,244232,3935
