"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,8085,937593,727,3595
2,7692,937542,982,3784
3,7373,937592,1324,3711
4,7031,937863,1517,3589
5,6662,937995,1831,3512
6,6281,938233,2073,3413
7,6146,938251,2210,3393
8,5970,938409,2263,3358
9,5498,938745,2417,3340
10,5288,939015,2448,3249
11,4986,939220,2607,3187
12,4674,939453,2657,3216
13,4488,939704,2638,3170
14,4219,940005,2686,3090
15,4004,940334,2672,2990
16,3760,940687,2696,2857
17,3476,941011,2723,2790
18,3146,941544,2658,2652
19,2938,941973,2583,2506
20,2646,942413,2411,2530
21,2423,942719,2381,2477
22,2295,942993,2291,2421
23,2100,943204,2358,2338
24,1913,943554,2292,2241
25,1857,943699,2169,2275
26,1707,943987,2169,2137
27,1533,944144,2200,2123
28,1400,944415,2071,2114
29,1289,944620,1924,2167
30,1213,944704,1858,2225
31,1167,944794,1773,2266
32,1050,944922,1745,2283
33,1013,944984,1669,2334
34,922,945057,1696,2325
35,843,945306,1568,2283
36,767,945356,1579,2298
37,729,945340,1610,2321
38,691,945499,1543,2267
39,643,945620,1534,2203
40,572,945806,1469,2153
41,572,945885,1440,2103
42,546,945861,1353,2240
43,500,945955,1277,2268
44,456,946050,1210,2284
45,407,946080,1208,2305
46,341,945984,1187,2488
47,329,946140,1209,2322
48,262,946212,1196,2330
49,270,946317,1172,2241
50,243,946447,1155,2155
51,221,946397,1190,2192
52,168,946547,1159,2126
53,130,946632,1069,2169
54,118,946608,1059,2215
55,109,946584,1064,2243
56,103,946529,1067,2301
57,101,946665,1065,2169
58,91,946597,1060,2252
59,87,946707,995,2211
60,81,946661,1009,2249
61,54,946720,1002,2224
62,46,946617,1003,2334
63,47,946564,1023,2366
64,44,946635,1014,2307
65,38,946796,972,2194
66,37,946824,992,2147
67,24,946833,984,2159
68,14,946857,1012,2117
69,14,946889,1002,2095
70,8,946852,1029,2111
71,16,946868,1010,2106
72,16,946829,964,2191
73,11,946862,947,2180
74,12,946753,937,2298
75,8,946821,956,2215
76,13,946853,912,2222
77,8,946813,948,2231
78,6,946961,912,2121
79,3,946825,948,2224
80,0,946880,963,2157
81,0,946802,921,2277
82,0,946958,868,2174
83,0,946853,893,2254
84,0,946836,910,2254
85,0,946805,896,2299
86,0,946733,942,2325
87,0,946748,957,2295
88,0,946900,917,2183
89,0,946917,947,2136
90,0,946969,945,2086
91,0,946944,958,2098
92,0,946940,940,2120
93,0,947015,874,2111
94,0,946890,938,2172
95,0,946848,949,2203
96,0,946869,946,2185
97,0,946792,945,2263
98,0,946785,919,2296
99,0,946790,929,2281
100,0,946694,976,2330
101,0,946757,968,2275
