"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,949255,745,0,0
2,949289,711,0,0
3,949352,645,0,3
4,949356,638,0,6
5,949405,584,0,11
6,949371,616,0,13
7,949422,559,0,19
8,949446,536,0,18
9,949510,468,0,22
10,949550,433,0,17
11,949594,397,0,9
12,949647,341,0,12
13,949669,320,0,11
14,949691,302,0,7
15,949715,276,0,9
16,949746,246,0,8
17,949775,209,0,16
18,949771,217,0,12
19,949793,194,0,13
20,949788,198,0,14
21,949801,183,0,16
22,949804,187,0,9
23,949820,175,0,5
24,949817,173,0,10
25,949828,163,0,9
26,949819,176,0,5
27,949836,163,0,1
28,949836,163,0,1
29,949848,151,0,1
30,949859,141,0,0
31,949889,111,0,0
32,949895,103,0,2
33,949879,117,0,4
34,949891,108,0,1
35,949877,123,0,0
36,949875,125,0,0
37,949859,141,0,0
38,949868,132,0,0
39,949871,129,0,0
40,949855,145,0,0
41,949871,129,0,0
42,949857,143,0,0
43,949850,150,0,0
44,949828,171,0,1
45,949862,138,0,0
46,949846,154,0,0
47,949838,162,0,0
48,949832,168,0,0
49,949828,172,0,0
50,949830,170,0,0
51,949838,162,0,0
52,949827,173,0,0
53,949846,154,0,0
54,949833,167,0,0
55,949837,163,0,0
56,949849,151,0,0
57,949866,134,0,0
58,949849,151,0,0
59,949869,131,0,0
60,949853,147,0,0
61,949875,125,0,0
62,949869,131,0,0
63,949864,135,0,1
64,949858,142,0,0
65,949844,156,0,0
66,949863,137,0,0
67,949872,128,0,0
68,949871,129,0,0
69,949894,106,0,0
70,949918,82,0,0
71,949904,96,0,0
72,949891,109,0,0
73,949898,102,0,0
74,949898,102,0,0
75,949888,112,0,0
76,949912,88,0,0
77,949884,116,0,0
78,949904,96,0,0
79,949902,98,0,0
80,949930,70,0,0
81,949927,73,0,0
82,949925,75,0,0
83,949950,50,0,0
84,949962,38,0,0
85,949962,38,0,0
86,949974,26,0,0
87,949966,34,0,0
88,949979,21,0,0
89,949967,33,0,0
90,949968,32,0,0
91,949974,26,0,0
92,949981,19,0,0
93,949986,14,0,0
94,949996,4,0,0
95,949996,4,0,0
96,949997,3,0,0
97,949997,3,0,0
98,949999,1,0,0
99,949997,3,0,0
100,949995,5,0,0
101,949997,3,0,0
102,949998,2,0,0
103,949995,5,0,0
104,949997,3,0,0
105,949997,3,0,0
106,949997,3,0,0
107,949999,1,0,0
108,950000,0,0,0
