"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,949528,472,0,0
2,949516,484,0,0
3,949535,465,0,0
4,949555,445,0,0
5,949570,427,0,3
6,949601,398,0,1
7,949592,405,0,3
8,949634,364,0,2
9,949656,344,0,0
10,949727,273,0,0
11,949754,246,0,0
12,949746,254,0,0
13,949766,234,0,0
14,949793,207,0,0
15,949841,159,0,0
16,949845,155,0,0
17,949849,151,0,0
18,949872,128,0,0
19,949884,116,0,0
20,949884,116,0,0
21,949892,108,0,0
22,949893,107,0,0
23,949907,93,0,0
24,949917,83,0,0
25,949914,86,0,0
26,949932,68,0,0
27,949948,52,0,0
28,949955,45,0,0
29,949962,38,0,0
30,949970,30,0,0
31,949980,20,0,0
32,949985,15,0,0
33,949991,9,0,0
34,949985,15,0,0
35,949988,12,0,0
36,949992,8,0,0
37,949987,13,0,0
38,949992,8,0,0
39,949991,9,0,0
40,949989,11,0,0
41,949986,14,0,0
42,949993,7,0,0
43,949998,2,0,0
44,949998,2,0,0
45,949997,3,0,0
46,949991,9,0,0
47,949995,5,0,0
48,949998,2,0,0
49,949999,1,0,0
50,949999,1,0,0
51,949999,1,0,0
52,949999,1,0,0
53,949998,2,0,0
54,949999,1,0,0
55,950000,0,0,0
