"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,948957,1024,0,19
2,948930,1049,0,21
3,948849,1134,0,17
4,948906,1073,2,19
5,948834,1147,2,17
6,948725,1249,1,25
7,948700,1280,1,19
8,948778,1198,2,22
9,948732,1245,6,17
10,948688,1286,6,20
11,948730,1245,7,18
12,948768,1189,14,29
13,948780,1175,24,21
14,948728,1230,24,18
15,948659,1296,33,12
16,948664,1296,29,11
17,948726,1238,28,8
18,948738,1225,31,6
19,948718,1254,20,8
20,948738,1234,20,8
21,948698,1284,15,3
22,948704,1281,12,3
23,948737,1252,8,3
24,948688,1299,9,4
25,948675,1313,4,8
26,948687,1301,2,10
27,948727,1262,2,9
28,948819,1167,7,7
29,948891,1090,9,10
30,948811,1161,12,16
31,948785,1167,26,22
32,948781,1167,29,23
33,948778,1173,18,31
34,948750,1199,19,32
35,948843,1127,19,11
36,948844,1128,16,12
37,948825,1156,15,4
38,948874,1095,29,2
39,948948,1017,34,1
40,948965,1010,25,0
41,949018,962,19,1
42,948982,1000,18,0
43,949075,913,11,1
44,949079,904,16,1
45,949085,898,15,2
46,949095,894,10,1
47,949069,914,13,4
48,949077,906,13,4
49,949118,865,16,1
50,949109,874,11,6
51,949142,832,15,11
52,949154,827,14,5
53,949216,765,13,6
54,949185,797,13,5
55,949190,783,19,8
56,949163,816,12,9
57,949132,850,9,9
58,949092,889,8,11
59,949168,795,17,20
60,949178,793,13,16
61,949179,794,19,8
62,949205,771,21,3
63,949198,788,14,0
64,949189,798,12,1
65,949218,773,9,0
66,949208,780,10,2
67,949238,750,11,1
68,949220,766,13,1
69,949219,767,14,0
70,949202,785,12,1
71,949219,773,7,1
72,949285,702,13,0
73,949209,772,19,0
74,949182,790,28,0
75,949162,812,26,0
76,949141,822,37,0
77,949172,792,36,0
78,949234,731,35,0
79,949203,763,34,0
80,949178,794,26,2
81,949155,817,26,2
82,949115,843,37,5
83,949121,841,36,2
84,949136,813,47,4
85,949185,769,34,12
86,949184,778,27,11
87,949214,730,30,26
88,949161,794,20,25
89,949163,804,14,19
90,949174,791,17,18
91,949173,782,17,28
92,949145,805,20,30
93,949155,802,19,24
94,949172,782,13,33
95,949239,734,6,21
96,949244,731,8,17
97,949219,729,12,40
98,949157,782,11,50
99,949148,782,14,56
100,949117,798,15,70
101,949155,778,9,58
102,949155,799,0,46
103,949201,735,5,59
104,949220,717,6,57
105,949212,722,4,62
106,949188,768,5,39
107,949180,786,7,27
108,949171,792,8,29
109,949179,782,9,30
110,949178,773,12,37
111,949226,706,16,52
112,949264,670,13,53
113,949259,665,16,60
114,949227,691,14,68
115,949224,699,12,65
116,949209,712,10,69
117,949193,738,7,62
118,949265,668,4,63
119,949187,725,9,79
120,949169,756,12,63
121,949145,778,9,68
122,949174,768,13,45
123,949147,772,17,64
124,949125,802,19,54
125,949145,780,15,60
126,949178,748,12,62
127,949189,748,10,53
128,949167,775,7,51
129,949159,788,10,43
130,949109,838,12,41
131,949109,835,6,50
132,949081,847,13,59
133,949073,849,11,67
134,949060,862,11,67
135,949087,831,9,73
136,949004,891,14,91
137,948981,914,18,87
138,949035,868,15,82
139,949085,824,14,77
140,949062,848,13,77
141,949032,881,13,74
142,949002,909,10,79
143,949001,898,10,91
144,948974,907,15,104
145,948993,889,5,113
146,949061,825,9,105
147,949026,834,7,133
148,949040,829,5,126
149,949059,824,5,112
150,949013,862,7,118
151,948985,886,9,120
152,948941,899,7,153
153,948908,921,5,166
154,948898,943,3,156
155,948881,949,3,167
156,948911,944,3,142
157,948936,927,7,130
158,948937,926,7,130
159,948965,912,9,114
160,949086,804,11,99
161,949146,751,14,89
162,949152,727,15,106
163,949128,756,13,103
164,949154,722,18,106
165,949206,693,12,89
166,949281,625,15,79
167,949297,608,16,79
