"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,943154,6546,281,19
2,943635,6075,271,19
3,943909,5753,308,30
4,944440,5240,288,32
5,944738,4955,267,40
6,944992,4699,259,50
7,945305,4389,235,71
8,945784,3928,222,66
9,946040,3658,229,73
10,946277,3455,196,72
11,946443,3286,188,83
12,946704,3046,172,78
13,947054,2698,165,83
14,947141,2637,155,67
15,947269,2492,165,74
16,947355,2417,174,54
17,947466,2326,149,59
18,947593,2213,142,52
19,947651,2170,140,39
20,947658,2172,132,38
21,947804,1991,156,49
22,947942,1871,145,42
23,948134,1694,137,35
24,948206,1618,142,34
25,948283,1579,120,18
26,948376,1499,103,22
27,948530,1368,80,22
28,948680,1234,69,17
29,948756,1163,60,21
30,948843,1067,59,31
31,948869,1040,65,26
32,948938,982,60,20
33,948996,940,47,17
34,949048,890,44,18
35,949127,804,54,15
36,949136,802,51,11
37,949291,662,27,20
38,949358,595,28,19
39,949428,535,16,21
40,949445,512,14,29
41,949512,451,15,22
42,949550,413,9,28
43,949561,404,15,20
44,949590,373,6,31
45,949607,348,8,37
46,949591,361,13,35
47,949601,351,9,39
48,949636,314,4,46
49,949677,270,6,47
50,949696,249,5,50
51,949713,218,12,57
52,949743,195,12,50
53,949782,156,11,51
54,949825,104,8,63
55,949828,100,5,67
56,949805,109,5,81
57,949788,119,6,87
58,949784,118,8,90
59,949806,121,4,69
60,949808,100,6,86
61,949807,94,5,94
62,949821,80,7,92
63,949826,92,9,73
64,949840,86,4,70
65,949853,78,3,66
66,949874,64,1,61
67,949866,54,1,79
68,949854,57,0,89
69,949842,61,0,97
70,949812,70,0,118
71,949835,50,0,115
72,949847,42,0,111
73,949860,49,0,91
74,949905,33,0,62
75,949920,26,0,54
76,949926,29,0,45
77,949931,29,0,40
78,949928,24,0,48
79,949927,20,0,53
80,949932,19,0,49
81,949942,22,0,36
82,949939,21,0,40
83,949940,25,0,35
84,949951,25,0,24
85,949955,22,0,23
86,949954,26,0,20
87,949964,20,0,16
88,949965,16,1,18
89,949973,12,0,15
90,949978,10,0,12
91,949971,15,0,14
92,949976,9,0,15
93,949974,15,0,11
94,949954,19,0,27
95,949950,17,0,33
96,949961,17,0,22
97,949959,17,0,24
98,949963,15,0,22
99,949974,13,0,13
100,949985,10,0,5
101,949995,2,0,3
102,949999,0,0,1
