"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,14182,930073,316,5429
2,14971,928325,338,6366
3,15973,926166,392,7469
4,16763,924405,428,8404
5,17719,922068,457,9756
6,18825,919598,570,11007
7,19914,917317,576,12193
8,20875,914773,602,13750
9,21695,912306,689,15310
10,23439,908901,717,16943
11,25170,905357,713,18760
12,26308,902606,758,20328
13,27505,899594,867,22034
14,29331,896035,907,23727
15,31233,891821,1007,25939
16,33433,887304,1094,28169
17,35376,883184,1207,30233
18,37825,878565,1190,32420
19,40051,873776,1227,34946
20,42307,868382,1317,37994
21,44464,863215,1341,40980
22,46695,857616,1410,44279
23,48982,852555,1395,47068
24,51711,846787,1534,49968
25,54602,841019,1613,52766
26,57981,833381,1673,56965
27,61131,826309,1716,60844
28,64405,819221,1717,64657
29,68024,811316,1808,68852
30,71404,803905,1886,72805
31,75166,795820,1993,77021
32,78823,787795,2044,81338
33,82114,778599,2205,87082
34,86730,768718,2344,92208
35,91048,758689,2405,97858
36,95225,748714,2438,103623
37,99074,739023,2484,109419
38,103938,728369,2530,115163
39,109496,716986,2546,120972
40,114403,706936,2544,126117
41,119896,695089,2555,132460
42,125816,682386,2562,139236
43,130933,670525,2608,145934
44,136432,659057,2670,151841
45,142402,646524,2695,158379
46,148802,633923,2702,164573
47,156226,620072,2821,170881
48,163700,605759,2839,177702
49,170733,590303,2877,186087
50,177469,575493,2892,194146
51,184115,560256,2813,202816
52,190808,546183,2785,210224
53,197103,532175,2705,218017
54,204237,516859,2707,226197
55,210533,501749,2759,234959
56,217411,486199,2661,243729
57,224326,470951,2543,252180
58,230675,455869,2484,260972
59,237945,441052,2528,268475
60,244680,426435,2526,276359
61,251856,411308,2436,284400
62,258491,395948,2438,293123
63,265220,380873,2442,301465
64,271190,366739,2394,309677
65,277377,352043,2308,318272
66,283409,338319,2118,326154
67,289945,323950,2095,334010
68,296103,310646,2105,341146
69,301505,297423,2010,349062
70,307580,283962,1930,356528
71,313564,270386,1783,364267
72,319351,257866,1687,371096
73,324862,245524,1528,378086
74,329317,234999,1504,384180
75,334743,223875,1351,390031
76,340410,211810,1242,396538
77,344508,202283,1192,402017
78,348359,193340,1085,407216
79,352182,183845,1022,412951
80,356677,174558,968,417797
81,360071,166292,909,422728
82,364709,157402,908,426981
83,369653,148743,827,430777
84,373070,140823,745,435362
85,377782,133558,654,438006
86,380510,126204,598,442688
87,383388,119611,572,446429
88,386138,112467,509,450886
89,388851,105980,495,454674
90,391543,99497,466,458494
91,392825,93885,466,462824
92,395215,88055,482,466248
93,397295,83174,416,469115
94,399448,78389,386,471777
95,401585,73406,344,474665
96,403776,68898,356,476970
97,405593,64713,338,479356
98,407326,60756,309,481609
99,409536,57137,276,483051
100,411736,53991,219,484054
101,413151,50875,234,485740
102,414564,47881,228,487327
103,416811,44992,196,488001
104,417324,42166,179,490331
105,418734,39535,153,491578
106,418621,37316,131,493932
107,420030,35023,112,494835
108,420579,33283,112,496026
109,421763,31331,122,496784
110,424101,29426,121,496352
111,425196,27510,119,497175
112,426789,25848,106,497257
113,427604,24533,95,497768
114,428394,23195,87,498324
115,428243,21940,97,499720
116,428162,20859,76,500903
117,428602,19794,72,501532
118,428623,18473,71,502833
119,430033,17150,73,502744
120,431813,15945,79,502163
121,432064,14820,72,503044
122,432115,13988,54,503843
123,432770,13285,56,503889
124,433477,12583,55,503885
125,433190,11391,52,505367
126,433052,10638,55,506255
127,433578,9897,55,506470
128,433231,9113,62,507594
129,434258,8394,41,507307
130,433808,7857,35,508300
131,433903,7462,20,508615
132,432876,6954,19,510151
133,434077,6733,17,509173
134,435219,6225,14,508542
135,434890,5729,15,509366
136,433892,5275,20,510813
137,433741,5042,17,511200
138,433977,4771,23,511229
139,433103,4508,23,512366
140,432219,4172,14,513595
141,432017,3850,11,514122
142,432410,3611,13,513966
143,431660,3418,10,514912
144,431377,3206,5,515412
145,431498,2982,9,515511
146,431128,2822,9,516041
147,431640,2631,6,515723
148,432444,2444,4,515108
149,432512,2279,1,515208
150,431717,2147,2,516134
151,431301,2084,0,516615
152,430818,1980,1,517201
153,431396,1868,0,516736
154,430956,1822,0,517222
155,432206,1700,0,516094
156,430877,1597,1,517525
157,431276,1516,3,517205
158,431648,1416,3,516933
159,432873,1376,2,515749
160,432466,1284,5,516245
161,432296,1182,5,516517
162,431896,1076,4,517024
163,432402,1092,4,516502
164,432004,1008,3,516985
165,432090,897,5,517008
166,432361,875,4,516760
167,431722,786,4,517488
168,432052,734,4,517210
169,431717,696,2,517585
170,431340,609,3,518048
171,431097,562,2,518339
172,430606,531,1,518862
173,430875,449,2,518674
174,430550,432,0,519018
175,429773,415,1,519811
176,428608,366,0,521026
177,428643,350,0,521007
178,428679,319,0,521002
179,429053,329,0,520618
180,428142,317,0,521541
181,427725,305,0,521970
182,427318,268,0,522414
183,428456,266,0,521278
184,428594,273,2,521131
185,428172,264,0,521564
186,429789,242,0,519969
187,429069,204,0,520727
188,429340,190,0,520470
189,428079,224,0,521697
190,429084,247,0,520669
191,428065,223,0,521712
192,427441,177,0,522382
193,428036,175,0,521789
194,428198,137,0,521665
195,428701,112,0,521187
196,429279,97,0,520624
197,429466,84,0,520450
198,429728,92,0,520180
199,429692,62,0,520246
200,429978,59,0,519963
201,429022,52,0,520926
202,428900,50,0,521050
203,428138,49,0,521813
204,427472,52,0,522476
205,427558,27,0,522415
206,426832,24,0,523144
207,427013,22,0,522965
208,426507,12,0,523481
209,426741,15,0,523244
210,426489,17,0,523494
211,427997,17,0,521986
212,427907,12,0,522081
213,428582,12,0,521406
214,428437,15,0,521548
215,428485,10,0,521505
216,427850,7,0,522143
217,426694,2,0,523304
218,426641,4,0,523355
219,426684,1,0,523315
220,425908,0,0,524092
