"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,48,945952,2377,1623
2,12,946841,1885,1262
3,7,947422,1451,1120
4,2,947839,1114,1045
5,0,948071,878,1051
6,0,948288,717,995
7,0,948433,568,999
8,0,948546,418,1036
9,0,948706,325,969
10,0,948695,258,1047
11,0,948825,177,998
12,0,948886,145,969
13,0,948888,113,999
14,0,948941,95,964
15,0,949041,77,882
16,0,949033,66,901
17,0,948977,46,977
18,0,948948,40,1012
19,0,948969,34,997
20,0,948955,18,1027
21,0,949026,10,964
22,0,949053,10,937
23,0,949001,3,996
24,0,949004,1,995
25,0,949027,2,971
26,0,949010,1,989
27,0,949020,1,979
28,0,949026,1,973
29,0,948959,0,1041
