"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,948439,1558,0,3
2,948475,1520,0,5
3,948549,1444,0,7
4,948519,1477,0,4
5,948499,1494,0,7
6,948442,1545,0,13
7,948437,1554,0,9
8,948424,1564,0,12
9,948423,1564,2,11
10,948457,1527,0,16
11,948444,1537,2,17
12,948509,1463,2,26
13,948475,1494,3,28
14,948460,1515,0,25
15,948462,1509,0,29
16,948382,1578,0,40
17,948418,1539,0,43
18,948400,1553,0,47
19,948389,1562,3,46
20,948414,1536,1,49
21,948453,1508,2,37
22,948384,1578,2,36
23,948365,1585,1,49
24,948412,1523,0,65
25,948351,1580,1,68
26,948456,1487,1,56
27,948367,1578,1,54
28,948409,1538,1,52
29,948349,1593,3,55
30,948357,1578,6,59
31,948420,1513,10,57
32,948371,1559,5,65
33,948427,1511,7,55
34,948409,1529,6,56
35,948400,1508,7,85
36,948401,1512,6,81
37,948447,1487,2,64
38,948421,1509,4,66
39,948463,1466,5,66
40,948524,1397,8,71
41,948449,1481,12,58
42,948428,1505,14,53
43,948452,1485,13,50
44,948430,1502,16,52
45,948492,1462,6,40
46,948549,1400,3,48
47,948523,1412,2,63
48,948567,1365,0,68
49,948527,1410,1,62
50,948530,1392,0,78
51,948478,1421,0,101
52,948462,1426,0,112
53,948449,1436,0,115
54,948485,1393,0,122
55,948482,1389,0,129
56,948477,1399,0,124
57,948428,1435,0,137
58,948424,1425,0,151
59,948367,1479,0,154
60,948412,1414,0,174
61,948490,1340,0,170
62,948438,1391,0,171
63,948426,1399,0,175
64,948397,1410,0,193
65,948345,1474,2,179
66,948370,1466,1,163
67,948429,1409,0,162
68,948409,1426,0,165
69,948504,1329,0,167
70,948557,1261,0,182
71,948610,1194,0,196
72,948601,1214,0,185
73,948554,1246,0,200
74,948562,1226,0,212
75,948611,1144,0,245
76,948642,1120,0,238
77,948549,1208,0,243
78,948583,1162,0,255
79,948608,1154,0,238
80,948572,1205,0,223
81,948531,1283,0,186
82,948463,1341,0,196
83,948419,1377,0,204
84,948392,1411,0,197
85,948371,1432,0,197
86,948394,1405,0,201
87,948395,1411,0,194
88,948503,1323,0,174
89,948467,1331,0,202
90,948499,1314,0,187
91,948392,1409,0,199
92,948426,1373,0,201
93,948423,1371,0,206
94,948472,1347,0,181
95,948485,1341,0,174
96,948520,1316,0,164
97,948504,1300,0,196
98,948462,1342,0,196
99,948397,1412,0,191
100,948394,1389,0,217
101,948377,1413,0,210
102,948408,1379,0,213
103,948429,1357,0,214
104,948453,1304,0,243
105,948405,1333,0,262
106,948384,1366,1,249
107,948431,1313,1,255
108,948441,1296,1,262
109,948471,1305,0,224
110,948558,1253,0,189
111,948560,1203,1,236
112,948558,1187,1,254
113,948592,1185,3,220
114,948580,1193,5,222
115,948517,1213,4,266
116,948496,1212,6,286
117,948543,1155,7,295
118,948574,1101,5,320
119,948594,1048,6,352
120,948596,1030,2,372
121,948610,984,2,404
122,948662,964,4,370
123,948650,990,6,354
124,948626,997,2,375
125,948591,1002,2,405
126,948631,1018,3,348
127,948659,1020,2,319
128,948586,1062,1,351
129,948500,1087,0,413
130,948490,1079,0,431
131,948545,1038,0,417
132,948583,1015,0,402
133,948547,1048,0,405
134,948613,988,1,398
135,948608,982,0,410
136,948591,1011,0,398
137,948660,977,0,363
