"Number of times that the grid reaches 95%","Recipients","Donors","Transconjugants","Segregants"
1,9821,935806,8,4365
2,9982,935102,11,4905
3,9979,934409,18,5594
4,10001,933760,20,6219
5,10007,932923,19,7051
6,9913,932429,29,7629
7,9871,931800,26,8303
8,9576,931403,39,8982
9,9786,930534,29,9651
10,9682,929859,25,10434
11,9588,929511,21,10880
12,9716,928957,23,11304
13,9823,928456,22,11699
14,9881,927968,19,12132
15,9703,927645,27,12625
16,9446,927279,22,13253
17,9459,926817,20,13704
18,9636,925932,30,14402
19,9693,925525,27,14755
20,9415,925365,21,15199
21,9327,924720,20,15933
22,9194,924365,26,16415
23,9019,924246,27,16708
24,9029,923593,23,17355
25,8817,923160,20,18003
26,8659,922783,22,18536
27,8641,922520,17,18822
28,8681,921789,24,19506
29,8696,921291,30,19983
30,8805,920694,41,20460
31,8914,920103,34,20949
32,8936,919783,27,21254
33,8973,918836,19,22172
34,9053,917999,18,22930
35,8969,917501,25,23505
36,8858,917159,20,23963
37,8881,916275,19,24825
38,8761,915883,30,25326
39,8766,915175,27,26032
40,8917,914184,32,26867
41,8976,913756,29,27239
42,8771,913849,33,27347
43,8702,913758,31,27509
44,8827,912949,29,28195
45,8750,912457,31,28762
46,8811,911656,33,29500
47,8966,911197,25,29812
48,8934,910730,31,30305
49,8963,909954,25,31058
50,8889,909586,20,31505
51,8684,909741,33,31542
52,8624,909224,30,32122
53,8503,908579,42,32876
54,8514,908433,50,33003
55,8656,907995,45,33304
56,8466,907589,33,33912
57,8636,906423,32,34909
58,8497,905770,25,35708
59,8503,904851,26,36620
60,8494,904569,21,36916
61,8502,904589,19,36890
62,8435,904638,22,36905
63,8351,904426,32,37191
64,8039,904270,18,37673
65,8096,903316,14,38574
66,7934,902894,15,39157
67,7807,902430,25,39738
68,7566,902468,23,39943
69,7639,901898,25,40438
70,7516,901371,21,41092
71,7405,900559,26,42010
72,7454,899481,28,43037
73,7548,898672,25,43755
74,7581,897858,22,44539
75,7404,897573,20,45003
76,7388,896906,17,45689
77,7470,895857,10,46663
78,7488,894905,10,47597
79,7524,894137,18,48321
80,7631,893592,17,48760
81,7662,892755,23,49560
82,7647,892351,23,49979
83,7788,891125,27,51060
84,7880,890880,22,51218
85,7931,889884,18,52167
86,7919,889202,20,52859
87,7878,889055,16,53051
88,7928,888587,11,53474
89,7969,888189,15,53827
90,7960,887825,15,54200
91,7954,886994,22,55030
92,7977,886190,31,55802
93,8130,884941,35,56894
94,8005,884573,37,57385
95,8117,883816,40,58027
96,8346,883024,35,58595
97,8462,882239,33,59266
98,8470,882315,24,59191
99,8209,882055,20,59716
100,8286,881409,16,60289
101,8494,880629,20,60857
102,8399,879721,21,61859
103,8519,878973,23,62485
104,8511,878794,30,62665
105,8588,878153,30,63229
106,8767,877458,34,63741
107,8857,876858,29,64256
108,8728,876022,40,65210
109,8970,875266,28,65736
110,9008,875041,30,65921
111,8937,874815,31,66217
112,8982,874172,26,66820
113,8929,873410,35,67626
114,8953,872590,19,68438
115,8918,872605,21,68456
116,8951,871774,31,69244
117,8962,871416,29,69593
118,9137,870840,31,69992
119,9102,870259,37,70602
120,8802,870239,37,70922
121,8713,869562,33,71692
122,8796,869457,35,71712
123,8817,868236,39,72908
124,8896,867006,34,74064
125,8976,867337,29,73658
126,9067,866809,30,74094
127,9112,866370,28,74490
128,9050,865614,34,75302
129,8826,865406,31,75737
130,8739,864648,35,76578
131,8710,864117,36,77137
132,8827,864038,21,77114
133,8856,864562,8,76574
134,8709,864197,9,77085
135,8539,863715,9,77737
136,8562,862910,14,78514
